baseClass,baseLabel,equivalentClass,equivalentLabel
http://purl.obolibrary.org/obo/HP_0000586,Shallow orbits,http://purl.obolibrary.org/obo/MP_0006213,shallow orbits
http://purl.obolibrary.org/obo/HP_0000592,Blue sclerae,http://purl.obolibrary.org/obo/MP_0003102,sclera thinning
http://purl.obolibrary.org/obo/HP_0000601,Hypotelorism,http://purl.obolibrary.org/obo/MP_0006197,ocular hypotelorism
http://purl.obolibrary.org/obo/HP_0000602,Ophthalmoplegia,http://purl.obolibrary.org/obo/MP_0003689,ophthalmoplegia
http://purl.obolibrary.org/obo/HP_0000609,Optic nerve hypoplasia,http://purl.obolibrary.org/obo/MP_0006221,optic nerve hypoplasia
http://purl.obolibrary.org/obo/HP_0000613,Photophobia,http://purl.obolibrary.org/obo/MP_0013787,photophobia
http://purl.obolibrary.org/obo/HP_0000618,Blindness,http://purl.obolibrary.org/obo/MP_0002001,blindness
http://purl.obolibrary.org/obo/HP_0000648,Optic atrophy,http://purl.obolibrary.org/obo/MP_0001059,optic nerve atrophy
http://purl.obolibrary.org/obo/HP_0000656,Ectropion,http://purl.obolibrary.org/obo/MP_0006164,ectropion
http://purl.obolibrary.org/obo/HP_0000658,Eyelid apraxia,http://purl.obolibrary.org/obo/MP_0006251,eyelid apraxia
http://purl.obolibrary.org/obo/HP_0000689,Dental malocclusion,http://purl.obolibrary.org/obo/MP_0000120,malocclusion
http://purl.obolibrary.org/obo/HP_0000691,Microdontia,http://purl.obolibrary.org/obo/MP_0030088,microdontia
http://purl.obolibrary.org/obo/HP_0000692,Misalignment of teeth,http://purl.obolibrary.org/obo/MP_0030540,misaligned teeth
http://purl.obolibrary.org/obo/HP_0000708,Behavioral abnormality,http://purl.obolibrary.org/obo/MP_0004924,abnormal behavior
http://purl.obolibrary.org/obo/HP_0000718,Aggressive behavior,http://purl.obolibrary.org/obo/MP_0002061,abnormal aggression-related behavior
http://purl.obolibrary.org/obo/HP_0000735,Impaired social interactions,http://purl.obolibrary.org/obo/MP_0002557,abnormal social/conspecific interaction
http://purl.obolibrary.org/obo/HP_0000739,Anxiety,http://purl.obolibrary.org/obo/MP_0001362,abnormal anxiety-related response
http://purl.obolibrary.org/obo/HP_0000764,Peripheral axonal degeneration,http://purl.obolibrary.org/obo/MP_0005405,axon degeneration
http://purl.obolibrary.org/obo/HP_0000773,Short ribs,http://purl.obolibrary.org/obo/MP_0004672,short ribs
http://purl.obolibrary.org/obo/HP_0000778,Hypoplasia of the thymus,http://purl.obolibrary.org/obo/MP_0001823,thymus hypoplasia
http://purl.obolibrary.org/obo/HP_0000782,Abnormality of the scapula,http://purl.obolibrary.org/obo/MP_0000149,abnormal scapula morphology
http://purl.obolibrary.org/obo/HP_0000789,Infertility,http://purl.obolibrary.org/obo/MP_0001924,infertility
http://purl.obolibrary.org/obo/HP_0000821,Hypothyroidism,http://purl.obolibrary.org/obo/MP_0003503,decreased activity of thyroid gland
http://purl.obolibrary.org/obo/HP_0000823,Delayed puberty,http://purl.obolibrary.org/obo/MP_0001938,delayed sexual maturation
http://purl.obolibrary.org/obo/HP_0000835,Adrenal hypoplasia,http://purl.obolibrary.org/obo/MP_0000640,adrenal gland hypoplasia
http://purl.obolibrary.org/obo/HP_0000836,Hyperthyroidism,http://purl.obolibrary.org/obo/MP_0003502,increased activity of thyroid gland
http://purl.obolibrary.org/obo/HP_0000842,Hyperinsulinemia,http://purl.obolibrary.org/obo/MP_0002079,increased circulating insulin level
http://purl.obolibrary.org/obo/HP_0000845,Growth hormone excess,http://purl.obolibrary.org/obo/MP_0003506,acromegaly
http://purl.obolibrary.org/obo/HP_0000848,Increased circulating renin level,http://purl.obolibrary.org/obo/MP_0003352,increased circulating renin level
http://purl.obolibrary.org/obo/HP_0000853,Goiter,http://purl.obolibrary.org/obo/MP_0005355,enlarged thyroid gland
http://purl.obolibrary.org/obo/HP_0000855,Insulin resistance,http://purl.obolibrary.org/obo/MP_0005331,insulin resistance
http://purl.obolibrary.org/obo/HP_0000859,Hyperaldosteronism,http://purl.obolibrary.org/obo/MP_0002666,increased circulating aldosterone level
http://purl.obolibrary.org/obo/HP_0000860,Parathyroid hypoplasia,http://purl.obolibrary.org/obo/MP_0003494,parathyroid hypoplasia
http://purl.obolibrary.org/obo/HP_0000870,Prolactin excess,http://purl.obolibrary.org/obo/MP_0005139,increased prolactin level
http://purl.obolibrary.org/obo/HP_0000879,Short sternum,http://purl.obolibrary.org/obo/MP_0004321,short sternum
http://purl.obolibrary.org/obo/HP_0000882,Hypoplastic scapulae,http://purl.obolibrary.org/obo/MP_0004344,scapular bone hypoplasia
http://purl.obolibrary.org/obo/HP_0000883,Thin ribs,http://purl.obolibrary.org/obo/MP_0004674,thin ribs
http://purl.obolibrary.org/obo/HP_0000885,Broad ribs,http://purl.obolibrary.org/obo/MP_0004676,wide ribs
http://purl.obolibrary.org/obo/HP_0000902,Rib fusion,http://purl.obolibrary.org/obo/MP_0000154,rib fusion
http://purl.obolibrary.org/obo/HP_0000921,Missing ribs,http://purl.obolibrary.org/obo/MP_0003345,decreased rib number
http://purl.obolibrary.org/obo/HP_0000938,Osteopenia,http://purl.obolibrary.org/obo/MP_0000063,decreased bone mineral density
http://purl.obolibrary.org/obo/HP_0000939,Osteoporosis,http://purl.obolibrary.org/obo/MP_0000066,osteoporosis
http://purl.obolibrary.org/obo/HP_0000953,Hyperpigmentation of the skin,http://purl.obolibrary.org/obo/MP_0030926,increased skin pigmentation
http://purl.obolibrary.org/obo/HP_0000962,Hyperkeratosis,http://purl.obolibrary.org/obo/MP_0001219,thick epidermis
http://purl.obolibrary.org/obo/HP_0000969,Edema,http://purl.obolibrary.org/obo/MP_0001785,edema
http://purl.obolibrary.org/obo/HP_0000978,Bruising susceptibility,http://purl.obolibrary.org/obo/MP_0009275,bruising
http://purl.obolibrary.org/obo/HP_0000998,Hypertrichosis,http://purl.obolibrary.org/obo/MP_0000412,excessive hair
http://purl.obolibrary.org/obo/HP_0001006,Hypotrichosis,http://purl.obolibrary.org/obo/MP_0000414,alopecia
http://purl.obolibrary.org/obo/HP_0001009,Telangiectasia,http://purl.obolibrary.org/obo/MP_0004175,telangiectases
http://purl.obolibrary.org/obo/HP_0001010,Hypopigmentation of the skin,http://purl.obolibrary.org/obo/MP_0011627,decreased skin pigmentation
http://purl.obolibrary.org/obo/HP_0001083,Ectopia lentis,http://purl.obolibrary.org/obo/MP_0005263,ectopia lentis
http://purl.obolibrary.org/obo/HP_0001089,Iris atrophy,http://purl.obolibrary.org/obo/MP_0006228,iris atrophy
http://purl.obolibrary.org/obo/HP_0001098,Abnormal fundus morphology,http://purl.obolibrary.org/obo/MP_0002864,abnormal ocular fundus morphology
http://purl.obolibrary.org/obo/HP_0001138,Optic neuropathy,http://purl.obolibrary.org/obo/MP_0006222,optic neuropathy
http://purl.obolibrary.org/obo/HP_0001196,Short umbilical cord,http://purl.obolibrary.org/obo/MP_0012304,short umbilical cord
http://purl.obolibrary.org/obo/HP_0001272,Cerebellar atrophy,http://purl.obolibrary.org/obo/MP_0014185,cerebellum atrophy
http://purl.obolibrary.org/obo/HP_0001274,Agenesis of corpus callosum,http://purl.obolibrary.org/obo/MP_0002196,absent corpus callosum
http://purl.obolibrary.org/obo/HP_0001320,Cerebellar vermis hypoplasia,http://purl.obolibrary.org/obo/MP_0000866,cerebellum vermis hypoplasia
http://purl.obolibrary.org/obo/HP_0001321,Cerebellar hypoplasia,http://purl.obolibrary.org/obo/MP_0000851,cerebellum hypoplasia
http://purl.obolibrary.org/obo/HP_0001324,Muscle weakness,http://purl.obolibrary.org/obo/MP_0000747,muscle weakness
http://purl.obolibrary.org/obo/HP_0001369,Arthritis,http://purl.obolibrary.org/obo/MP_0002993,arthritis
http://purl.obolibrary.org/obo/HP_0001373,Joint dislocation,http://purl.obolibrary.org/obo/MP_0030795,joint dislocation
http://purl.obolibrary.org/obo/HP_0001376,Limitation of joint mobility,http://purl.obolibrary.org/obo/MP_0030863,decreased joint mobility
http://purl.obolibrary.org/obo/HP_0001386,Joint swelling,http://purl.obolibrary.org/obo/MP_0002936,joint swelling
http://purl.obolibrary.org/obo/HP_0001395,Hepatic fibrosis,http://purl.obolibrary.org/obo/MP_0003333,liver fibrosis
http://purl.obolibrary.org/obo/HP_0001399,Hepatic failure,http://purl.obolibrary.org/obo/MP_0003326,liver failure
http://purl.obolibrary.org/obo/HP_0001407,Hepatic cysts,http://purl.obolibrary.org/obo/MP_0003327,liver cysts
http://purl.obolibrary.org/obo/HP_0001409,Portal hypertension,http://purl.obolibrary.org/obo/MP_0003328,portal hypertension
http://purl.obolibrary.org/obo/HP_0001410,Decreased liver function,http://purl.obolibrary.org/obo/MP_0003325,decreased liver function
http://purl.obolibrary.org/obo/HP_0001440,Metatarsal synostosis,http://purl.obolibrary.org/obo/MP_0004642,fused metatarsal bones
http://purl.obolibrary.org/obo/HP_0001507,Growth abnormality,http://purl.obolibrary.org/obo/MP_0001731,abnormal postnatal growth
http://purl.obolibrary.org/obo/HP_0001508,Failure to thrive,http://purl.obolibrary.org/obo/MP_0001732,postnatal growth retardation
http://purl.obolibrary.org/obo/HP_0001511,Intrauterine growth retardation,http://purl.obolibrary.org/obo/WBPhenotype_0000042,slow embryonic development
http://purl.obolibrary.org/obo/HP_0001513,Obesity,http://purl.obolibrary.org/obo/MP_0001261,obese
http://purl.obolibrary.org/obo/HP_0001547,Abnormality of the rib cage,http://purl.obolibrary.org/obo/MP_0004624,abnormal thoracic cage morphology
http://purl.obolibrary.org/obo/HP_0001572,Macrodontia,http://purl.obolibrary.org/obo/MP_0030091,macrodontia
http://purl.obolibrary.org/obo/HP_0001593,Maxillary lateral incisor microdontia,http://purl.obolibrary.org/obo/MP_0030080,small lower incisors
http://purl.obolibrary.org/obo/HP_0001602,Laryngeal stenosis,http://purl.obolibrary.org/obo/MP_0012491,larynx stenosis
http://purl.obolibrary.org/obo/HP_0001629,Ventricular septal defect,http://purl.obolibrary.org/obo/MP_0010402,ventricular septal defect
http://purl.obolibrary.org/obo/HP_0001631,Atrial septal defect,http://purl.obolibrary.org/obo/MP_0010403,atrial septal defect
http://purl.obolibrary.org/obo/HP_0001634,Mitral valve prolapse,http://purl.obolibrary.org/obo/MP_0006120,mitral valve prolapse
http://purl.obolibrary.org/obo/HP_0001635,Congestive heart failure,http://purl.obolibrary.org/obo/MP_0006138,congestive heart failure
http://purl.obolibrary.org/obo/HP_0001638,Cardiomyopathy,http://purl.obolibrary.org/obo/MP_0005330,cardiomyopathy
http://purl.obolibrary.org/obo/HP_0001640,Cardiomegaly,http://purl.obolibrary.org/obo/MP_0000274,enlarged heart
http://purl.obolibrary.org/obo/HP_0001642,Pulmonic stenosis,http://purl.obolibrary.org/obo/MP_0006128,pulmonary valve stenosis
http://purl.obolibrary.org/obo/HP_0001643,Patent ductus arteriosus,http://purl.obolibrary.org/obo/MP_0003139,patent ductus arteriosus
http://purl.obolibrary.org/obo/HP_0001647,Bicuspid aortic valve,http://purl.obolibrary.org/obo/MP_0010484,bicuspid aortic valve
http://purl.obolibrary.org/obo/HP_0001650,Aortic valve stenosis,http://purl.obolibrary.org/obo/MP_0006117,aortic valve stenosis
http://purl.obolibrary.org/obo/HP_0001653,Mitral regurgitation,http://purl.obolibrary.org/obo/MP_0006045,mitral valve regurgitation
http://purl.obolibrary.org/obo/HP_0001654,Abnormal heart valve morphology,http://purl.obolibrary.org/obo/MP_0000285,abnormal heart valve morphology
http://purl.obolibrary.org/obo/HP_0001655,Patent foramen ovale,http://purl.obolibrary.org/obo/MP_0004225,patent cardiac foramen ovale
http://purl.obolibrary.org/obo/HP_0001659,Aortic regurgitation,http://purl.obolibrary.org/obo/MP_0006047,aortic valve regurgitation
http://purl.obolibrary.org/obo/HP_0001671,Abnormal cardiac septum morphology,http://purl.obolibrary.org/obo/MP_0006113,abnormal heart septum morphology
http://purl.obolibrary.org/obo/HP_0001680,Coarctation of aorta,http://purl.obolibrary.org/obo/MP_0003387,aorta coarctation
http://purl.obolibrary.org/obo/HP_0001704,Tricuspid valve prolapse,http://purl.obolibrary.org/obo/MP_0006125,tricuspid valve prolapse
http://purl.obolibrary.org/obo/HP_0001707,Abnormal right ventricle morphology,http://purl.obolibrary.org/obo/MP_0003920,abnormal heart right ventricle morphology
http://purl.obolibrary.org/obo/HP_0001713,Abnormal cardiac ventricle morphology,http://purl.obolibrary.org/obo/MP_0005294,abnormal heart ventricle morphology
http://purl.obolibrary.org/obo/HP_0001718,Mitral stenosis,http://purl.obolibrary.org/obo/MP_0006122,mitral valve stenosis
http://purl.obolibrary.org/obo/HP_0001737,Pancreatic cysts,http://purl.obolibrary.org/obo/MP_0003336,pancreas cysts
http://purl.obolibrary.org/obo/HP_0001738,Exocrine pancreatic insufficiency,http://purl.obolibrary.org/obo/MP_0003335,exocrine pancreatic insufficiency
http://purl.obolibrary.org/obo/HP_0001744,Splenomegaly,http://purl.obolibrary.org/obo/MP_0000691,enlarged spleen
http://purl.obolibrary.org/obo/HP_0001746,Asplenia,http://purl.obolibrary.org/obo/MP_0000690,absent spleen
http://purl.obolibrary.org/obo/HP_0001789,Hydrops fetalis,http://purl.obolibrary.org/obo/MP_0002192,hydrops fetalis
http://purl.obolibrary.org/obo/HP_0001799,Short nail,http://purl.obolibrary.org/obo/MP_0012399,short nails
http://purl.obolibrary.org/obo/HP_0001824,Weight loss,http://purl.obolibrary.org/obo/MP_0001263,weight loss
http://purl.obolibrary.org/obo/HP_0001873,Thrombocytopenia,http://purl.obolibrary.org/obo/MP_0003179,thrombocytopenia
http://purl.obolibrary.org/obo/HP_0001875,Neutropenia,http://purl.obolibrary.org/obo/MP_0000222,decreased neutrophil cell number
http://purl.obolibrary.org/obo/HP_0001876,Pancytopenia,http://purl.obolibrary.org/obo/MP_0005152,pancytopenia
http://purl.obolibrary.org/obo/HP_0001883,Talipes,http://purl.obolibrary.org/obo/MP_0000576,clubfoot
http://purl.obolibrary.org/obo/HP_0001892,Abnormal bleeding,http://purl.obolibrary.org/obo/MP_0001914,hemorrhage
http://purl.obolibrary.org/obo/HP_0001896,Reticulocytopenia,http://purl.obolibrary.org/obo/MP_0008941,reticulocytopenia
http://purl.obolibrary.org/obo/HP_0001901,Polycythemia,http://purl.obolibrary.org/obo/MP_0002872,polycythemia
http://purl.obolibrary.org/obo/HP_0001902,Giant platelets,http://purl.obolibrary.org/obo/MP_0030025,giant platelets
http://purl.obolibrary.org/obo/HP_0001920,Renal artery stenosis,http://purl.obolibrary.org/obo/MP_0011356,renal artery stenosis
http://purl.obolibrary.org/obo/HP_0001923,Reticulocytosis,http://purl.obolibrary.org/obo/MP_0002640,reticulocytosis
http://purl.obolibrary.org/obo/HP_0001939,Abnormality of metabolism/homeostasis,http://purl.obolibrary.org/obo/MP_0005266,abnormal metabolism
http://purl.obolibrary.org/obo/HP_0001941,Acidosis,http://purl.obolibrary.org/obo/MP_0003031,acidosis
http://purl.obolibrary.org/obo/HP_0001943,Hypoglycemia,http://purl.obolibrary.org/obo/MP_0000189,hypoglycemia
http://purl.obolibrary.org/obo/HP_0001946,Ketosis,http://purl.obolibrary.org/obo/MP_0030970,ketosis
http://purl.obolibrary.org/obo/HP_0001952,Glucose intolerance,http://purl.obolibrary.org/obo/MP_0005291,abnormal glucose tolerance
http://purl.obolibrary.org/obo/HP_0001961,Hypoplastic heart,http://purl.obolibrary.org/obo/MP_0002740,heart hypoplasia
http://purl.obolibrary.org/obo/HP_0001987,Hyperammonemia,http://purl.obolibrary.org/obo/MP_0005309,increased circulating ammonia level
http://purl.obolibrary.org/obo/HP_0001992,Organic aciduria,http://purl.obolibrary.org/obo/MP_0030612,organic aciduria
http://purl.obolibrary.org/obo/HP_0001999,Abnormal facial shape,http://purl.obolibrary.org/obo/MP_0003743,abnormal facial morphology
http://purl.obolibrary.org/obo/HP_0002003,Large forehead,http://purl.obolibrary.org/obo/MP_0030042,large forehead
http://purl.obolibrary.org/obo/HP_0002006,Facial cleft,http://purl.obolibrary.org/obo/MP_0008797,facial cleft
http://purl.obolibrary.org/obo/HP_0002007,Frontal bossing,http://purl.obolibrary.org/obo/MP_0030049,prominent forehead
http://purl.obolibrary.org/obo/HP_0002014,Diarrhea,http://purl.obolibrary.org/obo/MP_0005036,diarrhea
http://purl.obolibrary.org/obo/HP_0002019,Constipation,http://purl.obolibrary.org/obo/MP_0003267,constipation
