# curie_map:
#   APO: http://purl.obolibrary.org/obo/APO_
#   DDPHENO: http://purl.obolibrary.org/obo/DDPHENO_
#   DPO: http://purl.obolibrary.org/obo/FBcv_
#   FYPO: http://purl.obolibrary.org/obo/FYPO_
#   HP: http://purl.obolibrary.org/obo/HP_
#   MGPO: http://purl.obolibrary.org/obo/MGPO_
#   MP: http://purl.obolibrary.org/obo/MP_
#   PLANP: http://purl.obolibrary.org/obo/PLANP_
#   WBPhenotype: http://purl.obolibrary.org/obo/WBPhenotype_
#   XPO: http://purl.obolibrary.org/obo/XPO_
#   ZP: http://purl.obolibrary.org/obo/ZP_
#   phipo: http://purl.obolibrary.org/obo/PHIPO_
# license: https://w3id.org/sssom/license/unspecified
# mapping_set_id: https://w3id.org/sssom/mappings/8619a8fb-deae-4d9b-8239-33eb56e27cca
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string	subject_preprocessing	object_preprocessing
APO:0000112	inviable (APO)	skos:closeMatch	DDPHENO:0000302	abolished vegetative growth (DDPHENO)	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	inviable	semapv:RegularExpressionReplacement	
APO:0000113	viable (APO)	skos:closeMatch	MP:0002873	normal phenotype (MPO)	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	viable	semapv:RegularExpressionReplacement	
APO:0000113	viable (APO)	skos:closeMatch	MP:0002169	no abnormal phenotype detected (MPO)	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	viable	semapv:RegularExpressionReplacement	
APO:0000117	normal (APO)	skos:broadMatch	MP:0002169	no abnormal phenotype detected (MPO)	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasBroadSynonym	normal	semapv:RegularExpressionReplacement	
APO:0000117	normal (APO)	skos:closeMatch	MP:0002169	no abnormal phenotype detected (MPO)	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasExactSynonym	wild type		
APO:0000117	normal (APO)	skos:closeMatch	DDPHENO:0000142	wild type (DDPHENO)	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	rdfs:label	wild type		semapv:RegularExpressionReplacement
APO:0000152	haploinsufficient (APO)	skos:exactMatch	FYPO:0000340	haploinsufficient (FYPO)	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	haploinsufficient	semapv:RegularExpressionReplacement	semapv:RegularExpressionReplacement
APO:0000244	PCA (APO)	skos:exactMatch	APO:0000272	Synthetic Haploinsufficiency (APO)	semapv:LexicalMatching	oaklib	0.9411764705882353	oio:hasDbXref	oio:hasDbXref	biogrid:curators		
APO:0000247	decreased duration (APO)	skos:exactMatch	MP:0001258	decreased body length (MPO)	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	decreased length		
APO:0000248	increased duration (APO)	skos:exactMatch	MP:0001257	increased body length (MPO)	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	increased length		
APO:0000276	prion formation (APO)	skos:exactMatch	FYPO:0005977	prion formation (FYPO)	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	prion formation	semapv:RegularExpressionReplacement	semapv:RegularExpressionReplacement
APO:0000314	cell lysis (APO)	skos:exactMatch	FYPO:0002488	cell lysis (FYPO)	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	cell lysis	semapv:RegularExpressionReplacement	semapv:RegularExpressionReplacement
APO:0000330	haploproficient (APO)	skos:exactMatch	FYPO:0002334	haploproficient (FYPO)	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	haploproficient	semapv:RegularExpressionReplacement	semapv:RegularExpressionReplacement
APO:0000336	aneuploidy (APO)	skos:closeMatch	DDPHENO:0001422	aberrant mitotic sister chromatid segregation (DDPHENO)	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	aneuploidy	semapv:RegularExpressionReplacement	
APO:0000336	aneuploidy (APO)	skos:closeMatch	FYPO:0000670	abnormal mitotic sister chromatid separation (FYPO)	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	aneuploidy	semapv:RegularExpressionReplacement	
APO:0000336	aneuploidy (APO)	skos:closeMatch	FYPO:0000678	unequal homologous chromosome segregation (FYPO)	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	aneuploidy	semapv:RegularExpressionReplacement	
APO:0000336	aneuploidy (APO)	skos:closeMatch	FYPO:0001270	complete but unequal mitotic sister chromatid segregation (FYPO)	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	aneuploidy	semapv:RegularExpressionReplacement	
APO:0000336	aneuploidy (APO)	skos:exactMatch	MP:0004024	aneuploidy (MPO)	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	aneuploidy	semapv:RegularExpressionReplacement	semapv:RegularExpressionReplacement
APO:0000336	aneuploidy (APO)	skos:exactMatch	WBPhenotype:0001882	aneuploidy (WBP)	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	aneuploidy	semapv:RegularExpressionReplacement	semapv:RegularExpressionReplacement
APO:0000337	polyploidy (APO)	skos:exactMatch	MP:0004025	polyploidy (MPO)	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	polyploidy	semapv:RegularExpressionReplacement	semapv:RegularExpressionReplacement
DDPHENO:0000003	increased migratory slug length (DDPHENO)	skos:exactMatch	DDPHENO:0000406	increased vegetative cell size (DDPHENO)	semapv:LexicalMatching	oaklib	0.9411764705882353	oio:hasDbXref	oio:hasDbXref	pmid:18366659		
DDPHENO:0000003	increased migratory slug length (DDPHENO)	skos:exactMatch	DDPHENO:0000379	decreased vegetative cell size (DDPHENO)	semapv:LexicalMatching	oaklib	0.9411764705882353	oio:hasDbXref	oio:hasDbXref	pmid:18366659		
DDPHENO:0000003	increased migratory slug length (DDPHENO)	skos:exactMatch	DDPHENO:0000208	decreased standing slug width (DDPHENO)	semapv:LexicalMatching	oaklib	0.9411764705882353	oio:hasDbXref	oio:hasDbXref	pmid:18366659		
DDPHENO:0000003	increased migratory slug length (DDPHENO)	skos:exactMatch	DDPHENO:0000207	increased standing slug length (DDPHENO)	semapv:LexicalMatching	oaklib	0.9411764705882353	oio:hasDbXref	oio:hasDbXref	pmid:18366659		
DDPHENO:0000003	increased migratory slug length (DDPHENO)	skos:exactMatch	DDPHENO:0000160	increased migratory slug size (DDPHENO)	semapv:LexicalMatching	oaklib	0.9411764705882353	oio:hasDbXref	oio:hasDbXref	pmid:18366659		
DDPHENO:0000003	increased migratory slug length (DDPHENO)	skos:exactMatch	DDPHENO:0000004	decreased migratory slug size (DDPHENO)	semapv:LexicalMatching	oaklib	0.9411764705882353	oio:hasDbXref	oio:hasDbXref	pmid:18366659		
DDPHENO:0000003	increased migratory slug length (DDPHENO)	skos:exactMatch	DDPHENO:0000701	aberrant aggregation territory size (DDPHENO)	semapv:LexicalMatching	oaklib	0.9411764705882353	oio:hasDbXref	oio:hasDbXref	pmid:18366659		
DDPHENO:0000004	decreased migratory slug size (DDPHENO)	skos:exactMatch	DDPHENO:0000208	decreased standing slug width (DDPHENO)	semapv:LexicalMatching	oaklib	0.9411764705882353	oio:hasDbXref	oio:hasDbXref	pmid:18366659		
DDPHENO:0000004	decreased migratory slug size (DDPHENO)	skos:exactMatch	DDPHENO:0000406	increased vegetative cell size (DDPHENO)	semapv:LexicalMatching	oaklib	0.9411764705882353	oio:hasDbXref	oio:hasDbXref	pmid:18366659		
DDPHENO:0000004	decreased migratory slug size (DDPHENO)	skos:exactMatch	DDPHENO:0000379	decreased vegetative cell size (DDPHENO)	semapv:LexicalMatching	oaklib	0.9411764705882353	oio:hasDbXref	oio:hasDbXref	pmid:18366659		
DDPHENO:0000004	decreased migratory slug size (DDPHENO)	skos:exactMatch	DDPHENO:0000207	increased standing slug length (DDPHENO)	semapv:LexicalMatching	oaklib	0.9411764705882353	oio:hasDbXref	oio:hasDbXref	pmid:18366659		
DDPHENO:0000004	decreased migratory slug size (DDPHENO)	skos:exactMatch	DDPHENO:0000160	increased migratory slug size (DDPHENO)	semapv:LexicalMatching	oaklib	0.9411764705882353	oio:hasDbXref	oio:hasDbXref	pmid:18366659		
DDPHENO:0000004	decreased migratory slug size (DDPHENO)	skos:exactMatch	DDPHENO:0000701	aberrant aggregation territory size (DDPHENO)	semapv:LexicalMatching	oaklib	0.9411764705882353	oio:hasDbXref	oio:hasDbXref	pmid:18366659		
DDPHENO:0000006	increased autophagy (DDPHENO)	skos:exactMatch	MP:0030941	enhanced autophagy (MPO)	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	increased autophagy	semapv:RegularExpressionReplacement	
DDPHENO:0000007	decreased autophagy (DDPHENO)	skos:broadMatch	FYPO:0000381	decreased macroautophagy (FYPO)	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasBroadSynonym	decreased autophagy	semapv:RegularExpressionReplacement	
DDPHENO:0000007	decreased autophagy (DDPHENO)	skos:exactMatch	MP:0030940	impaired autophagy (MPO)	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	decreased autophagy	semapv:RegularExpressionReplacement	
DDPHENO:0000032	increased sporulation (DDPHENO)	skos:exactMatch	FYPO:0000588	increased sporulation frequency (FYPO)	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	increased sporulation	semapv:RegularExpressionReplacement	
DDPHENO:0000105	abolished protein localization to nucleolus (DDPHENO)	skos:exactMatch	FYPO:0003688	abolished protein localization to nucleolus (FYPO)	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	abolished protein localization to nucleolus	semapv:RegularExpressionReplacement	semapv:RegularExpressionReplacement
DDPHENO:0000107	increased protein localization to nucleolus (DDPHENO)	skos:exactMatch	FYPO:0004356	increased protein localization to nucleolus (FYPO)	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	increased protein localization to nucleolus	semapv:RegularExpressionReplacement	semapv:RegularExpressionReplacement
DDPHENO:0000108	increased  glucose level (DDPHENO)	skos:broadMatch	MP:0005559	increased circulating glucose level (MPO)	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasBroadSynonym	increased glucose level	semapv:RegularExpressionReplacement	
DDPHENO:0000109	increased cell-cell adhesion (DDPHENO)	skos:exactMatch	FYPO:0005760	increased cell-cell adhesion (FYPO)	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	increased cell-cell adhesion	semapv:RegularExpressionReplacement	semapv:RegularExpressionReplacement
DDPHENO:0000109	increased cell-cell adhesion (DDPHENO)	skos:broadMatch	FYPO:0000155	increased flocculation (FYPO)	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasBroadSynonym	increased cell-cell adhesion	semapv:RegularExpressionReplacement	
DDPHENO:0000121	decreased glucose level (DDPHENO)	skos:broadMatch	MP:0005560	decreased circulating glucose level (MPO)	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasBroadSynonym	decreased glucose level	semapv:RegularExpressionReplacement	
DDPHENO:0000127	aberrant socially cooperative development (DDPHENO)	skos:closeMatch	DDPHENO:0000522	decreased chemotaxis to cAMP (DDPHENO)	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasRelatedSynonym	<new synonym>		
DDPHENO:0000137	decreased actin filament bundle assembly (DDPHENO)	skos:exactMatch	FYPO:0005980	decreased actin filament bundle assembly (FYPO)	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	decreased actin filament bundle assembly	semapv:RegularExpressionReplacement	semapv:RegularExpressionReplacement
DDPHENO:0000142	wild type (DDPHENO)	skos:exactMatch	MP:0002169	no abnormal phenotype detected (MPO)	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	wild type	semapv:RegularExpressionReplacement	
DDPHENO:0000160	increased migratory slug size (DDPHENO)	skos:exactMatch	DDPHENO:0000379	decreased vegetative cell size (DDPHENO)	semapv:LexicalMatching	oaklib	0.9411764705882353	oio:hasDbXref	oio:hasDbXref	pmid:18366659		
DDPHENO:0000160	increased migratory slug size (DDPHENO)	skos:exactMatch	DDPHENO:0000207	increased standing slug length (DDPHENO)	semapv:LexicalMatching	oaklib	0.9411764705882353	oio:hasDbXref	oio:hasDbXref	pmid:18366659		
DDPHENO:0000160	increased migratory slug size (DDPHENO)	skos:exactMatch	DDPHENO:0000701	aberrant aggregation territory size (DDPHENO)	semapv:LexicalMatching	oaklib	0.9411764705882353	oio:hasDbXref	oio:hasDbXref	pmid:18366659		
DDPHENO:0000160	increased migratory slug size (DDPHENO)	skos:exactMatch	DDPHENO:0000406	increased vegetative cell size (DDPHENO)	semapv:LexicalMatching	oaklib	0.9411764705882353	oio:hasDbXref	oio:hasDbXref	pmid:18366659		
DDPHENO:0000160	increased migratory slug size (DDPHENO)	skos:exactMatch	DDPHENO:0000208	decreased standing slug width (DDPHENO)	semapv:LexicalMatching	oaklib	0.9411764705882353	oio:hasDbXref	oio:hasDbXref	pmid:18366659		
DDPHENO:0000162	delayed development (DDPHENO)	skos:exactMatch	HP:0001263	Global developmental delay (HPO)	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	delayed development	semapv:RegularExpressionReplacement	
DDPHENO:0000171	increased growth rate (DDPHENO)	skos:exactMatch	MP:0002865	increased growth rate (MPO)	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	increased growth rate	semapv:RegularExpressionReplacement	semapv:RegularExpressionReplacement
DDPHENO:0000207	increased standing slug length (DDPHENO)	skos:exactMatch	HP:0100807	Long fingers (HPO)	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	long fingers		semapv:RegularExpressionReplacement
DDPHENO:0000207	increased standing slug length (DDPHENO)	skos:exactMatch	HP:0100807	Long fingers (HPO)	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	long fingers		
DDPHENO:0000207	increased standing slug length (DDPHENO)	skos:exactMatch	DDPHENO:0000208	decreased standing slug width (DDPHENO)	semapv:LexicalMatching	oaklib	0.9411764705882353	oio:hasDbXref	oio:hasDbXref	pmid:18366659		
DDPHENO:0000207	increased standing slug length (DDPHENO)	skos:exactMatch	DDPHENO:0000406	increased vegetative cell size (DDPHENO)	semapv:LexicalMatching	oaklib	0.9411764705882353	oio:hasDbXref	oio:hasDbXref	pmid:18366659		
DDPHENO:0000207	increased standing slug length (DDPHENO)	skos:exactMatch	DDPHENO:0000701	aberrant aggregation territory size (DDPHENO)	semapv:LexicalMatching	oaklib	0.9411764705882353	oio:hasDbXref	oio:hasDbXref	pmid:18366659		
DDPHENO:0000207	increased standing slug length (DDPHENO)	skos:exactMatch	DDPHENO:0000379	decreased vegetative cell size (DDPHENO)	semapv:LexicalMatching	oaklib	0.9411764705882353	oio:hasDbXref	oio:hasDbXref	pmid:18366659		
DDPHENO:0000208	decreased standing slug width (DDPHENO)	skos:exactMatch	DDPHENO:0000379	decreased vegetative cell size (DDPHENO)	semapv:LexicalMatching	oaklib	0.9411764705882353	oio:hasDbXref	oio:hasDbXref	pmid:18366659		
DDPHENO:0000208	decreased standing slug width (DDPHENO)	skos:exactMatch	DDPHENO:0000406	increased vegetative cell size (DDPHENO)	semapv:LexicalMatching	oaklib	0.9411764705882353	oio:hasDbXref	oio:hasDbXref	pmid:18366659		
DDPHENO:0000208	decreased standing slug width (DDPHENO)	skos:exactMatch	HP:0001238	Slender finger (HPO)	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	thin fingers		
DDPHENO:0000208	decreased standing slug width (DDPHENO)	skos:exactMatch	DDPHENO:0000701	aberrant aggregation territory size (DDPHENO)	semapv:LexicalMatching	oaklib	0.9411764705882353	oio:hasDbXref	oio:hasDbXref	pmid:18366659		
DDPHENO:0000213	increased cell-substrate adhesion (DDPHENO)	skos:exactMatch	FYPO:0001403	increased cell-substrate adhesion (FYPO)	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	increased cell-substrate adhesion	semapv:RegularExpressionReplacement	semapv:RegularExpressionReplacement
DDPHENO:0000231	increased cell death (DDPHENO)	skos:closeMatch	MP:0012556	increased cell death (MPO)	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasExactSynonym	decreased cell viability		
DDPHENO:0000231	increased cell death (DDPHENO)	skos:exactMatch	MP:0012556	increased cell death (MPO)	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	increased cell death	semapv:RegularExpressionReplacement	semapv:RegularExpressionReplacement
DDPHENO:0000232	decreased spore germination (DDPHENO)	skos:exactMatch	FYPO:0000581	decreased spore germination frequency (FYPO)	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	decreased spore germination	semapv:RegularExpressionReplacement	
DDPHENO:0000232	decreased spore germination (DDPHENO)	skos:closeMatch	FYPO:0000581	decreased spore germination frequency (FYPO)	semapv:LexicalMatching	oaklib	0.5	oio:hasBroadSynonym	oio:hasRelatedSynonym	decreased spore viability		
DDPHENO:0000232	decreased spore germination (DDPHENO)	skos:closeMatch	FYPO:0000584	decreased sporulation frequency (FYPO)	semapv:LexicalMatching	oaklib	0.5	oio:hasBroadSynonym	oio:hasRelatedSynonym	decreased spore viability		
DDPHENO:0000232	decreased spore germination (DDPHENO)	skos:closeMatch	FYPO:0002151	inviable spore (FYPO)	semapv:LexicalMatching	oaklib	0.5	oio:hasBroadSynonym	oio:hasRelatedSynonym	decreased spore viability		
DDPHENO:0000237	decreased cell death (DDPHENO)	skos:exactMatch	MP:0012555	decreased cell death (MPO)	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	decreased cell death	semapv:RegularExpressionReplacement	semapv:RegularExpressionReplacement
DDPHENO:0000237	decreased cell death (DDPHENO)	skos:closeMatch	MP:0012555	decreased cell death (MPO)	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasExactSynonym	increased cell viability		
DDPHENO:0000295	abolished protein binding (DDPHENO)	skos:exactMatch	FYPO:0000705	abolished protein-protein interaction (FYPO)	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	abolished protein binding	semapv:RegularExpressionReplacement	
DDPHENO:0000296	decreased protein binding (DDPHENO)	skos:exactMatch	FYPO:0001645	decreased protein-protein interaction (FYPO)	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	decreased protein binding	semapv:RegularExpressionReplacement	
DDPHENO:0000297	increased protein binding (DDPHENO)	skos:exactMatch	FYPO:0001571	increased protein-protein interaction (FYPO)	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	increased protein binding	semapv:RegularExpressionReplacement	
DDPHENO:0000300	decreased gene expression (DDPHENO)	skos:exactMatch	FYPO:0006549	decreased gene expression (FYPO)	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	decreased gene expression	semapv:RegularExpressionReplacement	semapv:RegularExpressionReplacement
DDPHENO:0000301	increased gene expression (DDPHENO)	skos:exactMatch	FYPO:0006548	increased gene expression (FYPO)	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	increased gene expression	semapv:RegularExpressionReplacement	semapv:RegularExpressionReplacement
DDPHENO:0000325	decreased lipid binding (DDPHENO)	skos:exactMatch	FYPO:0007251	decreased lipid binding (FYPO)	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	decreased lipid binding	semapv:RegularExpressionReplacement	semapv:RegularExpressionReplacement
DDPHENO:0000326	abolished lipid binding (DDPHENO)	skos:exactMatch	FYPO:0006937	abolished lipid binding (FYPO)	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	abolished lipid binding	semapv:RegularExpressionReplacement	semapv:RegularExpressionReplacement
DDPHENO:0000346	decreased protein kinase activity (DDPHENO)	skos:exactMatch	FYPO:0001382	decreased protein kinase activity (FYPO)	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	decreased protein kinase activity	semapv:RegularExpressionReplacement	semapv:RegularExpressionReplacement
DDPHENO:0000347	abolished protein kinase activity (DDPHENO)	skos:exactMatch	FYPO:0001384	abolished protein kinase activity (FYPO)	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	abolished protein kinase activity	semapv:RegularExpressionReplacement	semapv:RegularExpressionReplacement
DDPHENO:0000348	increased protein kinase activity (DDPHENO)	skos:exactMatch	FYPO:0002700	increased protein kinase activity (FYPO)	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	increased protein kinase activity	semapv:RegularExpressionReplacement	semapv:RegularExpressionReplacement
DDPHENO:0000379	decreased vegetative cell size (DDPHENO)	skos:exactMatch	DDPHENO:0000701	aberrant aggregation territory size (DDPHENO)	semapv:LexicalMatching	oaklib	0.9411764705882353	oio:hasDbXref	oio:hasDbXref	pmid:18366659		
DDPHENO:0000379	decreased vegetative cell size (DDPHENO)	skos:exactMatch	DDPHENO:0000406	increased vegetative cell size (DDPHENO)	semapv:LexicalMatching	oaklib	0.9411764705882353	oio:hasDbXref	oio:hasDbXref	pmid:18366659		
DDPHENO:0000379	decreased vegetative cell size (DDPHENO)	skos:exactMatch	FYPO:0000645	small vegetative cell (FYPO)	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	decreased vegetative cell size	semapv:RegularExpressionReplacement	
DDPHENO:0000385	abolished cytokinesis (DDPHENO)	skos:exactMatch	FYPO:0000417	abolished cytokinesis (FYPO)	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	abolished cytokinesis	semapv:RegularExpressionReplacement	semapv:RegularExpressionReplacement
DDPHENO:0000394	decreased growth rate (DDPHENO)	skos:exactMatch	MP:0001732	postnatal growth retardation (MPO)	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	decreased growth rate	semapv:RegularExpressionReplacement	
DDPHENO:0000406	increased vegetative cell size (DDPHENO)	skos:closeMatch	FYPO:0000646	swollen vegetative cell (FYPO)	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	increased vegetative cell size	semapv:RegularExpressionReplacement	
DDPHENO:0000406	increased vegetative cell size (DDPHENO)	skos:exactMatch	DDPHENO:0000701	aberrant aggregation territory size (DDPHENO)	semapv:LexicalMatching	oaklib	0.9411764705882353	oio:hasDbXref	oio:hasDbXref	pmid:18366659		
DDPHENO:0000424	abolished sporulation (DDPHENO)	skos:exactMatch	FYPO:0000583	abolished sporulation (FYPO)	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	abolished sporulation	semapv:RegularExpressionReplacement	semapv:RegularExpressionReplacement
DDPHENO:0000428	decreased fatty acid level (DDPHENO)	skos:exactMatch	MP:0005282	decreased fatty acids level (MPO)	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	decreased fatty acid level	semapv:RegularExpressionReplacement	
DDPHENO:0000431	mitotic G1 phase arrest (DDPHENO)	skos:exactMatch	FYPO:0000445	cell cycle arrest in mitotic G1 phase (FYPO)	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	mitotic g1 phase arrest	semapv:RegularExpressionReplacement	
DDPHENO:0000453	abolished protein localization to nucleus (DDPHENO)	skos:exactMatch	FYPO:0003450	abolished protein localization to nucleus (FYPO)	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	abolished protein localization to nucleus	semapv:RegularExpressionReplacement	semapv:RegularExpressionReplacement
DDPHENO:0000490	decreased calcium ion import (DDPHENO)	skos:exactMatch	FYPO:0001954	decreased calcium import (FYPO)	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	decreased calcium ion import	semapv:RegularExpressionReplacement	
