sub_label,sub_bearer_label,sub_classification,super_label,super_bearer_label,super_classification
'abnormal pancreas mesenchyme morphology','pancreas mesenchyme',Continuant,'abnormal pancreas development','pancreas development',Occurent
'coronary artery aneurysm','aneurysm',Other,'abnormal coronary artery morphology','coronary artery',Continuant
'abnormal S-shaped body morphology','S-shaped body',Continuant,'abnormal nephron morphogenesis','nephron morphogenesis',Occurent
'abnormal comma shaped body morphology','comma-shaped body',Continuant,'abnormal nephron morphogenesis','nephron morphogenesis',Occurent
'abnormal neutrophil physiology','neutrophil',Continuant,'abnormal innate immunity','innate immune response',Occurent
'abnormal macrophage physiology','macrophage',Continuant,'abnormal innate immunity','innate immune response',Occurent
'abnormal pro-B cell differentiation','pro-B cell differentiation',Occurent,'abnormal pro-B cell morphology','pro-B cell',Continuant
'abnormal mononuclear cell differentiation','mononuclear cell differentiation',Occurent,'abnormal myeloblast morphology/development','myeloblast',Continuant
'abnormal neurotransmitter level','neurotransmitter',Continuant,'abnormal synaptic transmission','chemical synaptic transmission',Occurent
'abnormal ventral pancreas morphology','ventral pancreatic bud',Continuant,'abnormal pancreas development','pancreas development',Occurent
'abnormal dorsal pancreas morphology','dorsal pancreatic bud',Continuant,'abnormal pancreas development','pancreas development',Occurent
'abnormal keratinocyte differentiation','keratinocyte differentiation',Occurent,'abnormal keratinocyte morphology','keratinocyte',Continuant
'abnormal nervous system regeneration','regeneration',Occurent,'abnormal nervous system physiology','nervous system',Continuant
'abnormal neutrophil differentiation','neutrophil differentiation',Occurent,'abnormal myeloblast morphology/development','myeloblast',Continuant
'biliary fistula','fistula',Other,'abnormal biliary tract morphology','biliary tree',Continuant
'mouth mucosal ulcer','ulcer',Other,'abnormal oral mucosa morphology','mouth mucosa',Continuant
'abnormal spleen development','spleen development',Occurent,'abnormal spleen morphology','spleen',Continuant
'abnormal urine color','urine',Continuant,'abnormal urine homeostasis','homeostatic process',Occurent
'remittent intestinal hemorrhage','intestine',Continuant,'gastrointestinal hemorrhage','hemorrhage and non-specified extravasation',Other
'abnormal neuron specification','neuron fate specification',Occurent,'abnormal neuron morphology','neuron',Continuant
'abnormal antigen presentation','antigen processing and presentation',Occurent,'abnormal immune system physiology','immune system',Continuant
'abnormal inflammatory response','inflammatory response',Occurent,'abnormal immune system physiology','immune system',Continuant
'abnormal otic pit morphology','otic pit',Continuant,'abnormal ear development','ear development',Occurent
'abnormal otic placode morphology','otic placode',Continuant,'abnormal ear development','ear development',Occurent
'increased brain apoptosis','apoptotic process',Occurent,'abnormal nervous system physiology','nervous system',Continuant
'abnormal humoral immune response','humoral immune response',Occurent,'abnormal immune system physiology','immune system',Continuant
'tooth abscess','abscess',Other,'abnormal tooth morphology','calcareous tooth',Continuant
'gallbladder inflammation','inflammatory response',Occurent,'abnormal gallbladder physiology','gall bladder',Continuant
'abnormal innervation','innervation',Occurent,'abnormal nervous system morphology','nervous system',Continuant
'teratozoospermia','sperm',Continuant,'abnormal spermatogenesis','spermatogenesis',Occurent
'abnormal catecholamine level','catecholamine',Continuant,'abnormal homeostasis','homeostatic process',Occurent
'abnormal immature B cell morphology','immature B cell',Continuant,'abnormal B cell differentiation','B cell differentiation',Occurent
'urinary bladder fibrosis','fibrosis',Other,'abnormal urinary bladder morphology','urinary bladder',Continuant
'abnormal epidermal stem cell morphology','stem cell of epidermis',Continuant,'abnormal skin development','skin development',Occurent
'abnormal urine potassium level','potassium atom',Continuant,'abnormal potassium ion homeostasis','potassium ion homeostasis',Occurent
'abnormal cholesterol level','cholesterol',Continuant,'abnormal cholesterol homeostasis','cholesterol homeostasis',Occurent
'abnormal urinary bladder development','urinary bladder development',Occurent,'abnormal urinary bladder morphology','urinary bladder',Continuant
'abnormal melanosome formation','melanosome assembly',Occurent,'abnormal melanosome morphology','melanosome',Continuant
'gastrointestinal hemorrhage','hemorrhage and non-specified extravasation',Other,'abnormal digestive system physiology','digestive system',Continuant
'increased placenta apoptosis','apoptotic process',Occurent,'abnormal placenta physiology','placenta',Continuant
'abnormal chordamesoderm morphology','chordamesoderm',Continuant,'abnormal axial mesoderm','axial mesoderm formation',Occurent
'abnormal glycosaminoglycan level','glycosaminoglycan',Continuant,'abnormal homeostasis','homeostatic process',Occurent
'abnormal prechordal mesoderm morphology','prechordal mesoderm',Continuant,'abnormal axial mesoderm','axial mesoderm formation',Occurent
'increased axial mesoderm size','axial mesoderm',Continuant,'abnormal axial mesoderm','axial mesoderm formation',Occurent
'decreased axial mesoderm size','axial mesoderm',Continuant,'abnormal axial mesoderm','axial mesoderm formation',Occurent
'abnormal optic stalk morphology','optic stalk',Continuant,'abnormal eye development','eye development',Occurent
'abnormal optic cup morphology','optic cup',Continuant,'abnormal eye development','eye development',Occurent
'abnormal spatial reference memory','spatial memory',Other,'abnormal learning/memory/conditioning','learning or memory',Occurent
'abnormal spatial working memory','spatial working memory',Other,'abnormal learning/memory/conditioning','learning or memory',Occurent
'abnormal sweat gland secretion','secretion by tissue',Occurent,'abnormal sweat gland physiology','sweat gland',Continuant
'abnormal aortic arch development','aorta development',Occurent,'abnormal aortic arch morphology','arch of aorta',Continuant
'decreased hair follicle apoptosis','apoptotic process',Occurent,'abnormal hair follicle physiology','hair follicle',Continuant
'increased hair follicle apoptosis','apoptotic process',Occurent,'abnormal hair follicle physiology','hair follicle',Continuant
'cardiomyopathy','cardiomyopathy',Other,'abnormal muscle physiology','muscle organ',Continuant
'myeloid hyperplasia','myeloid cell',Continuant,'abnormal myelopoiesis','myeloid cell differentiation',Occurent
'abnormal oxygen level','oxygen atom',Continuant,'abnormal gas homeostasis','gas homeostasis',Occurent
'increased lung apoptosis','apoptotic process',Occurent,'abnormal respiratory system physiology','respiratory system',Continuant
'increased somite number','somite',Continuant,'abnormal somite development','somite development',Occurent
'photosensitivity','camera-type eye',Continuant,'abnormal homeostasis','homeostatic process',Occurent
'abnormal mammary gland pattern','mammary gland',Continuant,'abnormal mammary gland development','mammary gland development',Occurent
'cystic bulbourethral gland','cyst',Other,'abnormal bulbourethral gland morphology','bulbo-urethral gland',Continuant
'hepatic necrosis','necrotic cell death',Occurent,'abnormal liver morphology','liver',Continuant
'edema','multicellular organism',Continuant,'abnormal fluid regulation','regulation of body fluid levels',Occurent
'abnormal Harderian gland development','Harderian gland development',Occurent,'abnormal Harderian gland morphology','Harderian gland',Continuant
'bradykinesia','musculoskeletal movement',Occurent,'abnormal locomotor activation','locomotor activation behavior',Other
'abnormal Meibomian gland development','tarsal gland development',Occurent,'abnormal Meibomian gland morphology','tarsal gland',Continuant
'Meibomian gland cyst','cyst',Other,'abnormal Meibomian gland morphology','tarsal gland',Continuant
'abnormal eye movement','eye movement',Other,'abnormal eye physiology','camera-type eye',Continuant
'abnormal synaptic vesicle clustering','neuronal ion channel clustering',Occurent,'abnormal neuron physiology','neuron',Continuant
'abnormal axonal transport','axo-dendritic transport',Occurent,'abnormal neuron physiology','neuron',Continuant
'abnormal tail pigmentation','pigmentation',Occurent,'abnormal tail morphology','post-anal tail',Continuant
'abnormal periocular mesenchyme morphology','periocular mesenchyme',Continuant,'abnormal eye development','eye development',Occurent
'abnormal midgut morphology','midgut',Continuant,'abnormal digestive system development','digestive system development',Occurent
'decreased susceptibility to type IV hypersensitivity reaction','immune system',Continuant,'decreased acute inflammation','acute inflammatory response',Occurent
'decreased susceptibility to type II hypersensitivity reaction','immune system',Continuant,'decreased acute inflammation','acute inflammatory response',Occurent
'decreased susceptibility to type III hypersensitivity reaction','immune system',Continuant,'decreased acute inflammation','acute inflammatory response',Occurent
'increased susceptibility to type IV hypersensitivity reaction','immune system',Continuant,'increased acute inflammation','acute inflammatory response',Occurent
'increased susceptibility to type II hypersensitivity reaction','immune system',Continuant,'increased acute inflammation','acute inflammatory response',Occurent
'increased susceptibility to type III hypersensitivity reaction','immune system',Continuant,'increased acute inflammation','acute inflammatory response',Occurent
'renal necrosis','necrotic cell death',Occurent,'kidney degeneration','kidney',Continuant
'abnormal osteoclast physiology','osteoclast',Continuant,'abnormal bone remodeling','bone remodeling',Occurent
'abnormal circulating lipid level','lipid',Continuant,'abnormal blood homeostasis','homeostatic process',Occurent
'abnormal copper level','copper atom',Continuant,'abnormal copper homeostasis','copper ion homeostasis',Occurent
'abnormal hair follicle development','hair follicle development',Occurent,'abnormal hair follicle morphology','hair follicle',Continuant
'decreased susceptibility to type I hypersensitivity reaction','immune system',Continuant,'decreased acute inflammation','acute inflammatory response',Occurent
'increased susceptibility to type I hypersensitivity reaction','immune system',Continuant,'increased acute inflammation','acute inflammatory response',Occurent
'abnormal limb bud morphology','limb bud',Continuant,'abnormal limb development','limb development',Occurent
'abnormal vesicle-mediated transport','vesicle-mediated transport',Occurent,'abnormal cell physiology','cell',Continuant
'abnormal forehead pigmentation','pigmentation',Occurent,'abnormal forehead skin morphology','skin of forehead',Continuant
'decreased salivation','saliva secretion',Occurent,'abnormal salivary gland physiology','saliva-secreting gland',Continuant
'increased salivation','saliva secretion',Occurent,'abnormal salivary gland physiology','saliva-secreting gland',Continuant
'abnormal circadian temperature homeostasis','circadian temperature homeostasis',Other,'abnormal body temperature homeostasis','temperature homeostasis',Occurent
'abnormal neural tube morphology','neural tube',Continuant,'abnormal nervous system development','nervous system development',Occurent
'arteritis','inflammatory response',Occurent,'vasculitis','vasculitis',Other
'lymphangitis','inflammatory response',Occurent,'vasculitis','vasculitis',Other
'phlebitis','inflammatory response',Occurent,'vasculitis','vasculitis',Other
'Meibomian gland inflammation','inflammatory response',Occurent,'abnormal Meibomian gland physiology','tarsal gland',Continuant
'abnormal dermatome morphology','dermatome',Continuant,'abnormal skin development','skin development',Occurent
'osteosclerosis','sclerosis',Other,'abnormal bone structure','bone element',Continuant
'abnormal circulating lactate level','lactate',Continuant,'abnormal blood homeostasis','homeostatic process',Occurent
'increased small intestinal crypt cell apoptosis','apoptotic process',Occurent,'abnormal small intestinal crypt cell physiology','crypt of Lieberkuhn of small intestine',Continuant
'abnormal mitotic cytokinesis','mitotic cytokinesis',Occurent,'abnormal mitosis','GO_0007067',Other
'abnormal urine homeostasis','homeostatic process',Occurent,'abnormal renal/urinary system physiology','renal system',Continuant
'abnormal enamel development','amelogenesis',Occurent,'abnormal enamel morphology','enamel',Continuant
'anal fistula','fistula',Other,'abnormal anus morphology','anus',Continuant
'azoospermia','sperm',Continuant,'abnormal spermatogenesis','spermatogenesis',Occurent
'abnormal carbon dioxide level','carbon dioxide',Continuant,'abnormal gas homeostasis','gas homeostasis',Occurent
'hyperchlorhydria','gastric juice',Continuant,'abnormal digestive secretion','secretion by tissue',Occurent
'hypochlorhydria','gastric juice',Continuant,'abnormal digestive secretion','secretion by tissue',Occurent
'achlorhydria','gastric juice',Continuant,'abnormal digestive secretion','secretion by tissue',Occurent
'abnormal circulating potassium level','potassium atom',Continuant,'abnormal potassium ion homeostasis','potassium ion homeostasis',Occurent
'impaired swimming','aquatic locomotion',Other,'abnormal motor coordination/balance','neuromuscular process controlling balance',Occurent
'impaired limb coordination','limb coordination',Other,'abnormal motor coordination/balance','neuromuscular process controlling balance',Occurent
'impaired balance','balance',Other,'abnormal motor coordination/balance','neuromuscular process controlling balance',Occurent
'abnormal vascular wound healing','angiogenesis involved in wound healing',Occurent,'abnormal blood vessel physiology','blood vessel',Continuant
'abnormal circulating bilirubin level','bilirubin IXalpha',Continuant,'abnormal blood homeostasis','homeostatic process',Occurent
'acanthosis','acanthosis',Other,'epidermis stratum spinosum hyperplasia','stratum spinosum of epidermis',Continuant
'cyanosis','zone of skin',Continuant,'abnormal blood homeostasis','homeostatic process',Occurent
'abnormal Harderian gland pigmentation','pigmentation',Occurent,'abnormal Harderian gland morphology','Harderian gland',Continuant
'abnormal metanephros morphology','metanephros',Continuant,'abnormal kidney development','kidney development',Occurent
'abnormal vasoconstriction','vasoconstriction',Occurent,'abnormal vascular smooth muscle physiology','blood vessel smooth muscle',Continuant
'abnormal nephrogenic zone morphology','nephrogenic zone',Continuant,'abnormal kidney development','kidney development',Occurent
'abnormal lymphopoiesis','lymphocyte differentiation',Occurent,'abnormal lymphocyte morphology','lymphocyte',Continuant
'abnormal circulating phosphate level','phosphate',Continuant,'abnormal ion homeostasis','ion homeostasis',Occurent
'nephrosclerosis','sclerosis',Other,'abnormal kidney morphology','kidney',Continuant
'abnormal behavior','behavior process',Other,'behavior/neurological phenotype','behavior',Occurent
'impaired coordination','motor coordination',Other,'abnormal motor coordination/balance','neuromuscular process controlling balance',Occurent
'abnormal olfaction','sensory perception of smell',Occurent,'abnormal olfactory system physiology','olfactory system',Continuant
'abnormal optic eminence morphology','optic eminence',Continuant,'abnormal eye development','eye development',Occurent
'liver hemorrhage','hemorrhage and non-specified extravasation',Other,'abnormal liver morphology','liver',Continuant
'skin hemorrhage','hemorrhage and non-specified extravasation',Other,'abnormal skin morphology','zone of skin',Continuant
'increased bleeding time','hemorrhage and non-specified extravasation',Other,'abnormal blood coagulation','blood coagulation',Occurent
'decreased bleeding time','hemorrhage and non-specified extravasation',Other,'abnormal blood coagulation','blood coagulation',Occurent
'abnormal renal tubule epithelial cell primary cilium morphology','GO_0031513',Other,'abnormal renal tubule epithelium morphology','nephron tubule epithelium',Continuant
'absent optic vesicle','optic vesicle',Continuant,'abnormal optic vesicle formation','optic vesicle formation',Occurent
'abnormal cardiac mesenchyme morphology','cardiac mesenchyme',Continuant,'abnormal cardiovascular development','cardiovascular system development',Occurent
'conjunctival telangiectasia','telangiectasia',Other,'abnormal conjunctival vasculature morphology','conjunctiva',Continuant
'increased mammary gland tumor incidence','neoplasm',Other,'abnormal mammary gland morphology','mammary gland',Continuant
'abnormal autophagy','autophagy',Occurent,'abnormal cell physiology','cell',Continuant
'epididymis fibrosis','fibrosis',Other,'abnormal epididymis morphology','epididymis',Continuant
'abnormal dendritic cell migration','dendritic cell migration',Occurent,'abnormal dendritic cell physiology','dendritic cell',Continuant
'kidney medulla cysts','cyst',Other,'abnormal kidney medulla morphology','renal medulla',Continuant
'abnormal choroid pigmentation','pigmentation',Occurent,'abnormal optic choroid morphology','optic choroid',Continuant
'decreased mammary gland tumor incidence','neoplasm',Other,'abnormal mammary gland morphology','mammary gland',Continuant
'abnormal ciliary body pigmentation','pigmentation',Occurent,'abnormal ciliary body morphology','ciliary body',Continuant
'abnormal submucosal gland secretion','secretion by tissue',Occurent,'abnormal submucosal gland physiology','submucosal gland',Continuant
'abnormal Langerhans cell antigen presentation','myeloid dendritic cell antigen processing and presentation',Occurent,'abnormal Langerhans cell physiology','myeloid dendritic cell',Continuant
'absent organized vascular network','vascular system',Continuant,'abnormal vasculogenesis','vasculogenesis',Occurent
'abnormal head development','head development',Occurent,'abnormal head morphology','head',Continuant
'abnormal osteoid morphology','osteoid',Continuant,'abnormal skeleton development','skeletal system development',Occurent
'abnormal fibroblast migration','fibroblast migration',Occurent,'abnormal fibroblast physiology','fibroblast',Continuant
'abnormal fibroblast proliferation','fibroblast proliferation',Occurent,'abnormal fibroblast physiology','fibroblast',Continuant
'abnormal head mesenchyme morphology','head mesenchyme',Continuant,'abnormal head development','head development',Occurent
'abnormal urine glucose level','glucose',Continuant,'abnormal urine homeostasis','homeostatic process',Occurent
'increased susceptibility to induced arthritis','skeletal joint',Continuant,'arthritis','arthritis',Other
'abnormal lung bud morphology','lung bud',Continuant,'abnormal lung development','lung development',Occurent
'abnormal vascular development','blood vessel development',Occurent,'abnormal blood vessel morphology','blood vessel',Continuant
'facial asymmetry','face',Continuant,'abnormal face development','face development',Occurent
'abnormal primordial germ cell migration','germ cell migration',Occurent,'abnormal germ cell physiology','germ cell',Continuant
'enhanced coordination','motor coordination',Other,'abnormal motor coordination/balance','neuromuscular process controlling balance',Occurent
'bradykinesia','musculoskeletal movement',Occurent,'abnormal stationary movement','body part movement',Other
'decreased susceptibility to type III hypersensitivity reaction','immune system',Continuant,'abnormal type III hypersensitivity reaction','type III hypersensitivity',Occurent
'increased susceptibility to type III hypersensitivity reaction','immune system',Continuant,'abnormal type III hypersensitivity reaction','type III hypersensitivity',Occurent
'pulmonary necrosis','necrotic cell death',Occurent,'abnormal lung morphology','lung',Continuant
'decreased susceptibility to type II hypersensitivity reaction','immune system',Continuant,'abnormal type II hypersensitivity reaction','type II hypersensitivity',Occurent
'increased susceptibility to type II hypersensitivity reaction','immune system',Continuant,'abnormal type II hypersensitivity reaction','type II hypersensitivity',Occurent
'renal interstitial fibrosis','fibrosis',Other,'abnormal kidney interstitium morphology','kidney interstitium',Continuant
'abnormal platelet physiology','platelet',Continuant,'abnormal blood coagulation','blood coagulation',Occurent
'increased susceptibility to type IV hypersensitivity reaction','immune system',Continuant,'abnormal type IV hypersensitivity reaction','type IV hypersensitivity',Occurent
'decreased susceptibility to type IV hypersensitivity reaction','immune system',Continuant,'abnormal type IV hypersensitivity reaction','type IV hypersensitivity',Occurent
'abnormal strial intermediate cell morphology','strial intermediate cell',Continuant,'abnormal otic pigmentation','pigmentation',Occurent
'abnormal hormone level','hormone',Continuant,'abnormal homeostasis','homeostatic process',Occurent
'abnormal lung saccule morphology','lung saccule',Continuant,'abnormal lung development','lung development',Occurent
'abnormal branching of the mammary ductal tree','branching morphogenesis of an epithelial tube',Occurent,'abnormal mammary gland duct morphology','mammary duct',Continuant
'unilateral deafness','deafness',Other,'impaired hearing','sensory perception of sound',Occurent
'choroidal neovascularization','blood vessel remodeling',Occurent,'abnormal choroid vasculature morphology','choroidal blood vessel',Continuant
'abnormal DNA replication','DNA replication',Occurent,'abnormal cell physiology','cell',Continuant
'abnormal DNA repair','DNA repair',Occurent,'abnormal cell physiology','cell',Continuant
'abnormal skeletal muscle cell apoptosis','apoptotic process',Occurent,'abnormal muscle physiology','muscle organ',Continuant
'abnormal otic vesicle development','otic vesicle formation',Occurent,'abnormal otic vesicle morphology','ear vesicle',Continuant
'abnormal cellular replicative senescence','cell aging',Occurent,'abnormal cell physiology','cell',Continuant
'abnormal cumulus oophorus','cumulus oophorus',Continuant,'impaired granulosa cell differentiation','granulosa cell differentiation',Occurent
'abnormal embryonic/fetal subventricular zone morphology','ganglionic eminence',Continuant,'abnormal nervous system development','nervous system development',Occurent
'increased susceptibility to type I hypersensitivity reaction','immune system',Continuant,'abnormal type I hypersensitivity reaction','type I hypersensitivity',Occurent
'decreased susceptibility to type I hypersensitivity reaction','immune system',Continuant,'abnormal type I hypersensitivity reaction','type I hypersensitivity',Occurent
'increased gland tumor incidence','glandular tumor',Other,'abnormal gland morphology','gland',Continuant
'abnormal circulating calcium level','calcium atom',Continuant,'abnormal calcium ion homeostasis','calcium ion homeostasis',Occurent
'increased allantois apoptosis','apoptotic process',Occurent,'abnormal extraembryonic tissue physiology','extraembryonic structure',Continuant
'abnormal urine glucose level','glucose',Continuant,'abnormal glucose homeostasis','glucose homeostasis',Occurent
'abnormal somite development','somite development',Occurent,'abnormal embryonic tissue morphology','embryonic tissue',Continuant
'abnormal mammary gland development','mammary gland development',Occurent,'abnormal mammary gland morphology','mammary gland',Continuant
'abnormal embryonic neuroepithelium primary cilium morphology','GO_0031513',Other,'abnormal embryonic neuroepithelium morphology','germinal neuroepithelium',Continuant
'abnormal cranial flexure morphology','cephalic midbrain flexure',Continuant,'abnormal midbrain development','midbrain development',Occurent
'xerostomia','mouth',Continuant,'decreased salivation','saliva secretion',Occurent
'abnormal T cell apoptosis','T cell apoptotic process',Occurent,'abnormal T cell physiology','T cell',Continuant
'stomach fibrosis','fibrosis',Other,'abnormal stomach morphology','stomach',Continuant
'abnormal brain development','brain development',Occurent,'abnormal brain morphology','brain',Continuant
'abnormal adrenal gland secretion','secretion by tissue',Occurent,'abnormal adrenal gland physiology','adrenal gland',Continuant
'abnormal bile salt level','bile salt',Continuant,'abnormal bile salt homeostasis','homeostatic process',Occurent
'abnormal face development','face development',Occurent,'abnormal facial morphology','face',Continuant
'esophagus fibrosis','fibrosis',Other,'abnormal esophagus morphology','esophagus',Continuant
'preputial gland inflammation','inflammatory response',Occurent,'abnormal sex gland physiology','reproductive gland',Continuant
'abnormal vestibular hair cell development','vestibular receptor cell development',Occurent,'abnormal vestibular hair cell morphology','vestibular hair cell',Continuant
'abnormal cochlear hair cell development','auditory receptor cell development',Occurent,'abnormal cochlear hair cell morphology','auditory hair cell',Continuant
'abnormal cortical plate morphology','cortical plate',Continuant,'abnormal telencephalon development','telencephalon development',Occurent
'patent ductus arteriosus','ductus arteriosus',Continuant,'abnormal vascular regression','apoptotic process involved in blood vessel morphogenesis',Occurent
'abnormal locomotor circadian rhythm','locomotor rhythm',Occurent,'abnormal locomotor behavior','locomotory behavior',Other
'abnormal subplate morphology','cortical subplate',Continuant,'abnormal telencephalon development','telencephalon development',Occurent
'abnormal cortical ventricular zone morphology','postnatal subventricular zone',Continuant,'abnormal telencephalon development','telencephalon development',Occurent
'abnormal cortical intermediate zone morphology','cortical intermediate zone',Continuant,'abnormal telencephalon development','telencephalon development',Occurent
'decreased susceptibility to induced arthritis','skeletal joint',Continuant,'arthritis','arthritis',Other
'abnormal cerebellar plate morphology','cerebellar plate',Continuant,'abnormal cerebellum development','cerebellum development',Occurent
'abnormal cerebellum external granule cell layer morphology','cerebellum external granule cell layer',Continuant,'abnormal cerebellum development','cerebellum development',Occurent
'impaired eosinophil chemotaxis','eosinophil chemotaxis',Occurent,'abnormal eosinophil physiology','eosinophil',Continuant
'impaired neutrophil chemotaxis','neutrophil chemotaxis',Occurent,'abnormal neutrophil physiology','neutrophil',Continuant
'abnormal urine magnesium level','magnesium atom',Continuant,'abnormal urine homeostasis','homeostatic process',Occurent
'abnormal urine chloride ion level','chloride',Continuant,'abnormal urine homeostasis','homeostatic process',Occurent
'abnormal urine amino acid level','amino acid',Continuant,'abnormal urine homeostasis','homeostatic process',Occurent
'abnormal urine catecholamine level','catecholamine',Continuant,'abnormal urine homeostasis','homeostatic process',Occurent
'abnormal urine nucleoside level','nucleoside',Continuant,'abnormal urine homeostasis','homeostatic process',Occurent
'abnormal urine nucleotide level','nucleotide',Continuant,'abnormal urine homeostasis','homeostatic process',Occurent
'abnormal urine glycosaminoglycan level','glycosaminoglycan',Continuant,'abnormal urine homeostasis','homeostatic process',Occurent
'abnormal stomodeum morphology','stomodeum',Continuant,'abnormal digestive system development','digestive system development',Occurent
'abnormal buccopharyngeal membrane morphology','buccopharyngeal membrane',Continuant,'abnormal digestive system development','digestive system development',Occurent
'abnormal respiratory electron transport chain','respiratory electron transport chain',Occurent,'abnormal mitochondrial physiology','mitochondrion',Continuant
'abnormal oxidative phosphorylation','oxidative phosphorylation',Occurent,'abnormal mitochondrial physiology','mitochondrion',Continuant
'abnormal tricarboxylic acid cycle','tricarboxylic acid cycle',Occurent,'abnormal mitochondrial physiology','mitochondrion',Continuant
'abnormal ureteric bud elongation','ureteric bud elongation',Occurent,'abnormal ureteric bud morphology','ureteric bud',Continuant
'abnormal branching involved in ureteric bud morphogenesis','branching involved in ureteric bud morphogenesis',Occurent,'abnormal ureteric bud morphology','ureteric bud',Continuant
'abnormal B cell apoptosis','B cell apoptotic process',Occurent,'abnormal B cell physiology','B cell',Continuant
'abnormal vein development','venous blood vessel development',Occurent,'abnormal vein morphology','vein',Continuant
'abnormal tooth placode morphology','tooth placode',Continuant,'abnormal tooth development','odontogenesis',Occurent
'abnormal circulating insulin level','insulin',Continuant,'abnormal glucose homeostasis','glucose homeostasis',Occurent
'abnormal dental papilla morphology','odontogenic papilla',Continuant,'abnormal tooth development','odontogenesis',Occurent
'abnormal dental follicle morphology','dental follicle',Continuant,'abnormal tooth development','odontogenesis',Occurent
'abnormal prostate gland development','prostate gland development',Occurent,'abnormal prostate gland morphology','prostate gland',Continuant
'corneal vascularization','blood vessel remodeling',Occurent,'abnormal cornea morphology','cornea',Continuant
'abnormal cerebellum development','cerebellum development',Occurent,'abnormal cerebellum morphology','cerebellum',Continuant
'glomerulonephritis','glomerulonephritis',Other,'kidney inflammation','inflammatory response',Occurent
'polycystic kidney','kidney',Continuant,'kidney cysts','cyst',Other
'abnormal eye pigmentation','pigmentation',Occurent,'abnormal eye morphology','camera-type eye',Continuant
'liver cysts','cyst',Other,'abnormal liver morphology','liver',Continuant
'liver fibrosis','fibrosis',Other,'abnormal liver morphology','liver',Continuant
'ectopic nipples','nipple',Continuant,'abnormal nipple development','nipple development',Occurent
'liver abscess','abscess',Other,'abnormal liver morphology','liver',Continuant
