p1,p2,label_x,label_y,cat
http://purl.obolibrary.org/obo/MP_0001341,http://purl.obolibrary.org/obo/HP_0011224,absent eyelids (MPO),Ablepharon (HPO),lexical
http://purl.obolibrary.org/obo/HP_0011224,http://purl.obolibrary.org/obo/MP_0001341,Ablepharon (HPO),absent eyelids (MPO),lexical
http://purl.obolibrary.org/obo/MP_0004939,http://purl.obolibrary.org/obo/XPO_0103150,abnormal B cell morphology (MPO),abnormal B cell morphology (XPO),lexical
http://purl.obolibrary.org/obo/XPO_0103150,http://purl.obolibrary.org/obo/MP_0004939,abnormal B cell morphology (XPO),abnormal B cell morphology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0031380,http://purl.obolibrary.org/obo/MP_0005153,Abnormal B cell proliferation (HPO),abnormal B cell proliferation (MPO),lexical
http://purl.obolibrary.org/obo/MP_0005153,http://purl.obolibrary.org/obo/HP_0031380,abnormal B cell proliferation (MPO),Abnormal B cell proliferation (HPO),lexical
http://purl.obolibrary.org/obo/HP_0030334,http://purl.obolibrary.org/obo/MP_0008397,"Abnormal CD4-positive, CD25-positive, alpha-beta regulatory T cell morphology (HPO)","abnormal CD4-positive, CD25-positive, alpha-beta regulatory T cell morphology (MPO)",lexical
http://purl.obolibrary.org/obo/MP_0008397,http://purl.obolibrary.org/obo/HP_0030334,"abnormal CD4-positive, CD25-positive, alpha-beta regulatory T cell morphology (MPO)","Abnormal CD4-positive, CD25-positive, alpha-beta regulatory T cell morphology (HPO)",lexical
http://purl.obolibrary.org/obo/MP_0010508,http://purl.obolibrary.org/obo/HP_0003115,abnormal heart electrocardiography waveform feature (MPO),Abnormal EKG (HPO),lexical
http://purl.obolibrary.org/obo/HP_0003115,http://purl.obolibrary.org/obo/MP_0010508,Abnormal EKG (HPO),abnormal heart electrocardiography waveform feature (MPO),lexical
http://purl.obolibrary.org/obo/MP_0020171,http://purl.obolibrary.org/obo/HP_0410240,abnormal IgA level (MPO),Abnormal IgA level (HPO),lexical-logical
http://purl.obolibrary.org/obo/HP_0410240,http://purl.obolibrary.org/obo/MP_0020171,Abnormal IgA level (HPO),abnormal IgA level (MPO),lexical-logical
http://purl.obolibrary.org/obo/HP_0410244,http://purl.obolibrary.org/obo/MP_0020172,Abnormal IgD level (HPO),abnormal IgD level (MPO),lexical-logical
http://purl.obolibrary.org/obo/MP_0020172,http://purl.obolibrary.org/obo/HP_0410244,abnormal IgD level (MPO),Abnormal IgD level (HPO),lexical-logical
http://purl.obolibrary.org/obo/HP_0410241,http://purl.obolibrary.org/obo/MP_0020173,Abnormal IgE level (HPO),abnormal IgE level (MPO),lexical-logical
http://purl.obolibrary.org/obo/MP_0020173,http://purl.obolibrary.org/obo/HP_0410241,abnormal IgE level (MPO),Abnormal IgE level (HPO),lexical-logical
http://purl.obolibrary.org/obo/MP_0020174,http://purl.obolibrary.org/obo/HP_0410242,abnormal IgG level (MPO),Abnormal IgG level (HPO),lexical-logical
http://purl.obolibrary.org/obo/HP_0410242,http://purl.obolibrary.org/obo/MP_0020174,Abnormal IgG level (HPO),abnormal IgG level (MPO),lexical-logical
http://purl.obolibrary.org/obo/MP_0020180,http://purl.obolibrary.org/obo/HP_0410243,abnormal IgM level (MPO),Abnormal IgM level (HPO),lexical-logical
http://purl.obolibrary.org/obo/HP_0410243,http://purl.obolibrary.org/obo/MP_0020180,Abnormal IgM level (HPO),abnormal IgM level (MPO),lexical-logical
http://purl.obolibrary.org/obo/HP_0031871,http://purl.obolibrary.org/obo/MP_0008117,Abnormal Langerhans cell morphology (HPO),abnormal Langerhans cell morphology (MPO),lexical
http://purl.obolibrary.org/obo/MP_0008117,http://purl.obolibrary.org/obo/HP_0031871,abnormal Langerhans cell morphology (MPO),Abnormal Langerhans cell morphology (HPO),lexical
http://purl.obolibrary.org/obo/MP_0004070,http://purl.obolibrary.org/obo/HP_0031595,abnormal P wave (MPO),Abnormal P wave (HPO),lexical
http://purl.obolibrary.org/obo/HP_0031595,http://purl.obolibrary.org/obo/MP_0004070,Abnormal P wave (HPO),abnormal P wave (MPO),lexical
http://purl.obolibrary.org/obo/HP_0031593,http://purl.obolibrary.org/obo/MP_0003901,Abnormal PR interval (HPO),abnormal PR interval (MPO),lexical
http://purl.obolibrary.org/obo/MP_0003901,http://purl.obolibrary.org/obo/HP_0031593,abnormal PR interval (MPO),Abnormal PR interval (HPO),lexical
http://purl.obolibrary.org/obo/MP_0003898,http://purl.obolibrary.org/obo/HP_0025074,abnormal QRS complex (MPO),Abnormal QRS complex (HPO),lexical
http://purl.obolibrary.org/obo/HP_0025074,http://purl.obolibrary.org/obo/MP_0003898,Abnormal QRS complex (HPO),abnormal QRS complex (MPO),lexical
http://purl.obolibrary.org/obo/MP_0003899,http://purl.obolibrary.org/obo/HP_0031547,abnormal QT interval (MPO),Abnormal QT interval (HPO),lexical
http://purl.obolibrary.org/obo/HP_0031547,http://purl.obolibrary.org/obo/MP_0003899,Abnormal QT interval (HPO),abnormal QT interval (MPO),lexical
http://purl.obolibrary.org/obo/MP_0011920,http://purl.obolibrary.org/obo/HP_0032195,abnormal S wave (MPO),Abnormal S wave (HPO),lexical
http://purl.obolibrary.org/obo/HP_0032195,http://purl.obolibrary.org/obo/MP_0011920,Abnormal S wave (HPO),abnormal S wave (MPO),lexical
http://purl.obolibrary.org/obo/HP_0012249,http://purl.obolibrary.org/obo/MP_0003897,Abnormal ST segment (HPO),abnormal ST segment (MPO),lexical
http://purl.obolibrary.org/obo/MP_0003897,http://purl.obolibrary.org/obo/HP_0012249,abnormal ST segment (MPO),Abnormal ST segment (HPO),lexical
http://purl.obolibrary.org/obo/MP_0001828,http://purl.obolibrary.org/obo/HP_0410035,abnormal T cell activation (MPO),Abnormal T cell activation (HPO),lexical
http://purl.obolibrary.org/obo/HP_0410035,http://purl.obolibrary.org/obo/MP_0001828,Abnormal T cell activation (HPO),abnormal T cell activation (MPO),lexical
http://purl.obolibrary.org/obo/HP_0002843,http://purl.obolibrary.org/obo/XPO_0102715,Abnormal T cell morphology (HPO),abnormal T cell morphology (XPO),lexical
http://purl.obolibrary.org/obo/XPO_0102715,http://purl.obolibrary.org/obo/HP_0002843,abnormal T cell morphology (XPO),Abnormal T cell morphology (HPO),lexical
http://purl.obolibrary.org/obo/HP_0031379,http://purl.obolibrary.org/obo/MP_0005094,Abnormal T cell proliferation (HPO),abnormal T cell proliferation (MPO),lexical
http://purl.obolibrary.org/obo/MP_0005094,http://purl.obolibrary.org/obo/HP_0031379,abnormal T cell proliferation (MPO),Abnormal T cell proliferation (HPO),lexical
http://purl.obolibrary.org/obo/HP_0030684,http://purl.obolibrary.org/obo/MP_0004891,Abnormal adiponectin level (HPO),abnormal adiponectin level (MPO),lexical
http://purl.obolibrary.org/obo/MP_0004891,http://purl.obolibrary.org/obo/HP_0030684,abnormal adiponectin level (MPO),Abnormal adiponectin level (HPO),lexical
http://purl.obolibrary.org/obo/XPO_0102320,http://purl.obolibrary.org/obo/ZP_0022475,abnormal adipose tissue morphology (XPO),"adipose tissue morphology, abnormal (ZPO)",lexical
http://purl.obolibrary.org/obo/ZP_0022475,http://purl.obolibrary.org/obo/XPO_0102320,"adipose tissue morphology, abnormal (ZPO)",abnormal adipose tissue morphology (XPO),lexical
http://purl.obolibrary.org/obo/XPO_0100688,http://purl.obolibrary.org/obo/HP_0009124,abnormal adipose tissue (XPO),Abnormal adipose tissue morphology (HPO),lexical
http://purl.obolibrary.org/obo/HP_0009124,http://purl.obolibrary.org/obo/XPO_0100688,Abnormal adipose tissue morphology (HPO),abnormal adipose tissue (XPO),lexical
http://purl.obolibrary.org/obo/HP_0030333,http://purl.obolibrary.org/obo/MP_0012762,Abnormal alpha-beta T cell morphology (HPO),abnormal alpha-beta T cell morphology (MPO),lexical-logical
http://purl.obolibrary.org/obo/MP_0012762,http://purl.obolibrary.org/obo/HP_0030333,abnormal alpha-beta T cell morphology (MPO),Abnormal alpha-beta T cell morphology (HPO),lexical-logical
http://purl.obolibrary.org/obo/HP_0004328,http://purl.obolibrary.org/obo/MP_0005193,Abnormal anterior eye segment morphology (HPO),abnormal anterior eye segment morphology (MPO),lexical-logical
http://purl.obolibrary.org/obo/MP_0005193,http://purl.obolibrary.org/obo/HP_0004328,abnormal anterior eye segment morphology (MPO),Abnormal anterior eye segment morphology (HPO),lexical-logical
http://purl.obolibrary.org/obo/XPO_0101749,http://purl.obolibrary.org/obo/ZP_0001151,abnormal aortic arch morphology (XPO),"aortic arch morphology, abnormal (ZPO)",lexical
http://purl.obolibrary.org/obo/ZP_0001151,http://purl.obolibrary.org/obo/XPO_0101749,"aortic arch morphology, abnormal (ZPO)",abnormal aortic arch morphology (XPO),lexical
http://purl.obolibrary.org/obo/MP_0004113,http://purl.obolibrary.org/obo/HP_0012303,abnormal aortic arch morphology (MPO),Abnormal aortic arch morphology (HPO),lexical-logical
http://purl.obolibrary.org/obo/HP_0012303,http://purl.obolibrary.org/obo/MP_0004113,Abnormal aortic arch morphology (HPO),abnormal aortic arch morphology (MPO),lexical-logical
http://purl.obolibrary.org/obo/HP_0001679,http://purl.obolibrary.org/obo/MP_0000272,Abnormal aortic morphology (HPO),abnormal aorta morphology (MPO),lexical
http://purl.obolibrary.org/obo/MP_0000272,http://purl.obolibrary.org/obo/HP_0001679,abnormal aorta morphology (MPO),Abnormal aortic morphology (HPO),lexical
http://purl.obolibrary.org/obo/MP_0010595,http://purl.obolibrary.org/obo/HP_0031567,abnormal aortic valve cusp morphology (MPO),Abnormal aortic valve cusp morphology (HPO),lexical-logical
http://purl.obolibrary.org/obo/HP_0031567,http://purl.obolibrary.org/obo/MP_0010595,Abnormal aortic valve cusp morphology (HPO),abnormal aortic valve cusp morphology (MPO),lexical-logical
http://purl.obolibrary.org/obo/MP_0002747,http://purl.obolibrary.org/obo/HP_0001646,abnormal aortic valve morphology (MPO),Abnormal aortic valve morphology (HPO),lexical
http://purl.obolibrary.org/obo/HP_0001646,http://purl.obolibrary.org/obo/MP_0002747,Abnormal aortic valve morphology (HPO),abnormal aortic valve morphology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0025201,http://purl.obolibrary.org/obo/MP_0010331,Abnormal apolipoprotein level (HPO),abnormal apolipoprotein level (MPO),lexical
http://purl.obolibrary.org/obo/MP_0010331,http://purl.obolibrary.org/obo/HP_0025201,abnormal apolipoprotein level (MPO),Abnormal apolipoprotein level (HPO),lexical
http://purl.obolibrary.org/obo/XPO_0101982,http://purl.obolibrary.org/obo/MP_0009250,abnormal appendicular skeleton morphology (XPO),abnormal appendicular skeleton morphology (MPO),lexical
http://purl.obolibrary.org/obo/MP_0009250,http://purl.obolibrary.org/obo/XPO_0101982,abnormal appendicular skeleton morphology (MPO),abnormal appendicular skeleton morphology (XPO),lexical
http://purl.obolibrary.org/obo/HP_0031784,http://purl.obolibrary.org/obo/MP_0009867,Abnormal ascending aorta morphology (HPO),abnormal ascending aorta morphology (MPO),lexical
http://purl.obolibrary.org/obo/MP_0009867,http://purl.obolibrary.org/obo/HP_0031784,abnormal ascending aorta morphology (MPO),Abnormal ascending aorta morphology (HPO),lexical
http://purl.obolibrary.org/obo/XPO_0103124,http://purl.obolibrary.org/obo/MP_0000282,abnormal atrial septum morphology (XPO),abnormal interatrial septum morphology (MPO),lexical
http://purl.obolibrary.org/obo/MP_0000282,http://purl.obolibrary.org/obo/XPO_0103124,abnormal interatrial septum morphology (MPO),abnormal atrial septum morphology (XPO),lexical
http://purl.obolibrary.org/obo/ZP_0001722,http://purl.obolibrary.org/obo/MP_0002745,"atrioventricular valve morphology, abnormal (ZPO)",abnormal atrioventricular valve morphology (MPO),lexical
http://purl.obolibrary.org/obo/MP_0002745,http://purl.obolibrary.org/obo/ZP_0001722,abnormal atrioventricular valve morphology (MPO),"atrioventricular valve morphology, abnormal (ZPO)",lexical
http://purl.obolibrary.org/obo/HP_0012331,http://purl.obolibrary.org/obo/MP_0002751,Abnormal autonomic nervous system morphology (HPO),abnormal autonomic nervous system morphology (MPO),lexical-logical
http://purl.obolibrary.org/obo/MP_0002751,http://purl.obolibrary.org/obo/HP_0012331,abnormal autonomic nervous system morphology (MPO),Abnormal autonomic nervous system morphology (HPO),lexical-logical
http://purl.obolibrary.org/obo/HP_0012332,http://purl.obolibrary.org/obo/MP_0006276,Abnormal autonomic nervous system physiology (HPO),abnormal autonomic nervous system physiology (MPO),lexical-logical
http://purl.obolibrary.org/obo/MP_0006276,http://purl.obolibrary.org/obo/HP_0012332,abnormal autonomic nervous system physiology (MPO),Abnormal autonomic nervous system physiology (HPO),lexical-logical
http://purl.obolibrary.org/obo/MP_0002114,http://purl.obolibrary.org/obo/XPO_0101957,abnormal axial skeleton morphology (MPO),abnormal axial skeleton morphology (XPO),lexical
http://purl.obolibrary.org/obo/XPO_0101957,http://purl.obolibrary.org/obo/MP_0002114,abnormal axial skeleton morphology (XPO),abnormal axial skeleton morphology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0001912,http://purl.obolibrary.org/obo/MP_0002422,Abnormal basophil morphology (HPO),abnormal basophil morphology (MPO),lexical
http://purl.obolibrary.org/obo/MP_0002422,http://purl.obolibrary.org/obo/HP_0001912,abnormal basophil morphology (MPO),Abnormal basophil morphology (HPO),lexical
http://purl.obolibrary.org/obo/MP_0005083,http://purl.obolibrary.org/obo/HP_0012440,abnormal biliary tract morphology (MPO),Abnormal biliary tract morphology (HPO),lexical-logical
http://purl.obolibrary.org/obo/HP_0012440,http://purl.obolibrary.org/obo/MP_0005083,Abnormal biliary tract morphology (HPO),abnormal biliary tract morphology (MPO),lexical-logical
http://purl.obolibrary.org/obo/HP_0012415,http://purl.obolibrary.org/obo/MP_0002329,Abnormal blood gas level (HPO),abnormal blood gas level (MPO),lexical
http://purl.obolibrary.org/obo/MP_0002329,http://purl.obolibrary.org/obo/HP_0012415,abnormal blood gas level (MPO),Abnormal blood gas level (HPO),lexical
http://purl.obolibrary.org/obo/MP_0011642,http://purl.obolibrary.org/obo/HP_0011862,abnormal bone collagen fibril morphology (MPO),Abnormal bone collagen fibril morphology (HPO),lexical-logical
http://purl.obolibrary.org/obo/HP_0011862,http://purl.obolibrary.org/obo/MP_0011642,Abnormal bone collagen fibril morphology (HPO),abnormal bone collagen fibril morphology (MPO),lexical-logical
http://purl.obolibrary.org/obo/MP_0008271,http://purl.obolibrary.org/obo/HP_0011849,abnormal bone ossification (MPO),Abnormal bone ossification (HPO),lexical
http://purl.obolibrary.org/obo/HP_0011849,http://purl.obolibrary.org/obo/MP_0008271,Abnormal bone ossification (HPO),abnormal bone ossification (MPO),lexical
http://purl.obolibrary.org/obo/HP_0003330,http://purl.obolibrary.org/obo/MP_0003795,Abnormal bone structure (HPO),abnormal bone structure (MPO),lexical-logical
http://purl.obolibrary.org/obo/MP_0003795,http://purl.obolibrary.org/obo/HP_0003330,abnormal bone structure (MPO),Abnormal bone structure (HPO),lexical-logical
http://purl.obolibrary.org/obo/MP_0001881,http://purl.obolibrary.org/obo/HP_0031094,abnormal mammary gland physiology (MPO),Abnormal breast physiology (HPO),lexical
http://purl.obolibrary.org/obo/HP_0031094,http://purl.obolibrary.org/obo/MP_0001881,Abnormal breast physiology (HPO),abnormal mammary gland physiology (MPO),lexical
http://purl.obolibrary.org/obo/MP_0002264,http://purl.obolibrary.org/obo/HP_0025426,abnormal bronchus morphology (MPO),Abnormal bronchus morphology (HPO),lexical
http://purl.obolibrary.org/obo/HP_0025426,http://purl.obolibrary.org/obo/MP_0002264,Abnormal bronchus morphology (HPO),abnormal bronchus morphology (MPO),lexical
http://purl.obolibrary.org/obo/XPO_0102424,http://purl.obolibrary.org/obo/MP_0003658,abnormal capillary morphology (XPO),abnormal capillary morphology (MPO),lexical
http://purl.obolibrary.org/obo/MP_0003658,http://purl.obolibrary.org/obo/XPO_0102424,abnormal capillary morphology (MPO),abnormal capillary morphology (XPO),lexical
http://purl.obolibrary.org/obo/XPO_0107343,http://purl.obolibrary.org/obo/HP_0005120,abnormal cardiac atrium morphology (XPO),Abnormal cardiac atrium morphology (HPO),lexical
http://purl.obolibrary.org/obo/HP_0005120,http://purl.obolibrary.org/obo/XPO_0107343,Abnormal cardiac atrium morphology (HPO),abnormal cardiac atrium morphology (XPO),lexical
http://purl.obolibrary.org/obo/XPO_0100736,http://purl.obolibrary.org/obo/HP_0001713,abnormal cardiac ventricle (XPO),Abnormal cardiac ventricle morphology (HPO),lexical
http://purl.obolibrary.org/obo/HP_0001713,http://purl.obolibrary.org/obo/XPO_0100736,Abnormal cardiac ventricle morphology (HPO),abnormal cardiac ventricle (XPO),lexical
http://purl.obolibrary.org/obo/ZP_0005415,http://purl.obolibrary.org/obo/XPO_0102368,"cardiac ventricle morphology, abnormal (ZPO)",abnormal cardiac ventricle morphology (XPO),lexical
http://purl.obolibrary.org/obo/XPO_0102368,http://purl.obolibrary.org/obo/ZP_0005415,abnormal cardiac ventricle morphology (XPO),"cardiac ventricle morphology, abnormal (ZPO)",lexical
http://purl.obolibrary.org/obo/MP_0000278,http://purl.obolibrary.org/obo/ZP_0013833,abnormal myocardial fiber morphology (MPO),"cardiac muscle cell morphology, abnormal (ZPO)",lexical
http://purl.obolibrary.org/obo/ZP_0013833,http://purl.obolibrary.org/obo/MP_0000278,"cardiac muscle cell morphology, abnormal (ZPO)",abnormal myocardial fiber morphology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0011025,http://purl.obolibrary.org/obo/MP_0001544,Abnormal cardiovascular system physiology (HPO),abnormal cardiovascular system physiology (MPO),lexical-logical
http://purl.obolibrary.org/obo/MP_0001544,http://purl.obolibrary.org/obo/HP_0011025,abnormal cardiovascular system physiology (MPO),Abnormal cardiovascular system physiology (HPO),lexical-logical
http://purl.obolibrary.org/obo/MP_0004181,http://purl.obolibrary.org/obo/HP_0005344,abnormal carotid artery morphology (MPO),Abnormal carotid artery morphology (HPO),lexical
http://purl.obolibrary.org/obo/HP_0005344,http://purl.obolibrary.org/obo/MP_0004181,Abnormal carotid artery morphology (HPO),abnormal carotid artery morphology (MPO),lexical
http://purl.obolibrary.org/obo/MP_0000163,http://purl.obolibrary.org/obo/HP_0002763,abnormal cartilage morphology (MPO),Abnormal cartilage morphology (HPO),lexical
http://purl.obolibrary.org/obo/HP_0002763,http://purl.obolibrary.org/obo/MP_0000163,Abnormal cartilage morphology (HPO),abnormal cartilage morphology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0002339,http://purl.obolibrary.org/obo/MP_0004078,Abnormal caudate nucleus morphology (HPO),abnormal caudate nucleus morphology (MPO),lexical
http://purl.obolibrary.org/obo/MP_0004078,http://purl.obolibrary.org/obo/HP_0002339,abnormal caudate nucleus morphology (MPO),Abnormal caudate nucleus morphology (HPO),lexical
http://purl.obolibrary.org/obo/HP_0012326,http://purl.obolibrary.org/obo/MP_0013854,Abnormal celiac artery morphology (HPO),abnormal celiac artery morphology (MPO),lexical-logical
http://purl.obolibrary.org/obo/MP_0013854,http://purl.obolibrary.org/obo/HP_0012326,abnormal celiac artery morphology (MPO),Abnormal celiac artery morphology (HPO),lexical-logical
http://purl.obolibrary.org/obo/XPO_0101636,http://purl.obolibrary.org/obo/FYPO_0000005,abnormal cell morphology (XPO),abnormal cell morphology (FYPO),lexical
http://purl.obolibrary.org/obo/FYPO_0000005,http://purl.obolibrary.org/obo/XPO_0101636,abnormal cell morphology (FYPO),abnormal cell morphology (XPO),lexical
http://purl.obolibrary.org/obo/WBPhenotype_0000533,http://purl.obolibrary.org/obo/MP_0000358,cell morphology variant (WBP),abnormal cell morphology (MPO),lexical
http://purl.obolibrary.org/obo/MP_0000358,http://purl.obolibrary.org/obo/WBPhenotype_0000533,abnormal cell morphology (MPO),cell morphology variant (WBP),lexical
http://purl.obolibrary.org/obo/DDPHENO_0000236,http://purl.obolibrary.org/obo/HP_0025461,aberrant cell morphology (DDPHENO),Abnormal cell morphology (HPO),lexical
http://purl.obolibrary.org/obo/HP_0025461,http://purl.obolibrary.org/obo/DDPHENO_0000236,Abnormal cell morphology (HPO),aberrant cell morphology (DDPHENO),lexical
http://purl.obolibrary.org/obo/DDPHENO_0001084,http://purl.obolibrary.org/obo/WBPhenotype_0000171,aberrant vegetative growth (DDPHENO),cell proliferation variant (WBP),lexical
http://purl.obolibrary.org/obo/WBPhenotype_0000171,http://purl.obolibrary.org/obo/DDPHENO_0001084,cell proliferation variant (WBP),aberrant vegetative growth (DDPHENO),lexical
http://purl.obolibrary.org/obo/MP_0000350,http://purl.obolibrary.org/obo/HP_0031377,abnormal cell proliferation (MPO),Abnormal cell proliferation (HPO),lexical
http://purl.obolibrary.org/obo/HP_0031377,http://purl.obolibrary.org/obo/MP_0000350,Abnormal cell proliferation (HPO),abnormal cell proliferation (MPO),lexical
http://purl.obolibrary.org/obo/ZP_0002764,http://purl.obolibrary.org/obo/XPO_0102148,"cerebellum morphology, abnormal (ZPO)",abnormal cerebellum morphology (XPO),lexical
http://purl.obolibrary.org/obo/XPO_0102148,http://purl.obolibrary.org/obo/ZP_0002764,abnormal cerebellum morphology (XPO),"cerebellum morphology, abnormal (ZPO)",lexical
http://purl.obolibrary.org/obo/MP_0000849,http://purl.obolibrary.org/obo/HP_0001317,abnormal cerebellum morphology (MPO),Abnormal cerebellum morphology (HPO),lexical
http://purl.obolibrary.org/obo/HP_0001317,http://purl.obolibrary.org/obo/MP_0000849,Abnormal cerebellum morphology (HPO),abnormal cerebellum morphology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0009145,http://purl.obolibrary.org/obo/XPO_0100593,Abnormal cerebral artery morphology (HPO),abnormal cerebral artery (XPO),lexical
http://purl.obolibrary.org/obo/XPO_0100593,http://purl.obolibrary.org/obo/HP_0009145,abnormal cerebral artery (XPO),Abnormal cerebral artery morphology (HPO),lexical
http://purl.obolibrary.org/obo/XPO_0102225,http://purl.obolibrary.org/obo/MP_0013821,abnormal cerebral artery morphology (XPO),abnormal cerebral artery morphology (MPO),lexical
http://purl.obolibrary.org/obo/MP_0013821,http://purl.obolibrary.org/obo/XPO_0102225,abnormal cerebral artery morphology (MPO),abnormal cerebral artery morphology (XPO),lexical
http://purl.obolibrary.org/obo/MP_0005098,http://purl.obolibrary.org/obo/HP_0000610,abnormal optic choroid morphology (MPO),Abnormal choroid morphology (HPO),lexical
http://purl.obolibrary.org/obo/HP_0000610,http://purl.obolibrary.org/obo/MP_0005098,Abnormal choroid morphology (HPO),abnormal optic choroid morphology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0031411,http://purl.obolibrary.org/obo/FYPO_0005600,Abnormal chromosome morphology (HPO),abnormal chromosome morphology (FYPO),lexical
http://purl.obolibrary.org/obo/FYPO_0005600,http://purl.obolibrary.org/obo/HP_0031411,abnormal chromosome morphology (FYPO),Abnormal chromosome morphology (HPO),lexical
http://purl.obolibrary.org/obo/WBPhenotype_0001348,http://purl.obolibrary.org/obo/MP_0003702,chromosome morphology variant (WBP),abnormal chromosome morphology (MPO),lexical-logical
http://purl.obolibrary.org/obo/MP_0003702,http://purl.obolibrary.org/obo/WBPhenotype_0001348,abnormal chromosome morphology (MPO),chromosome morphology variant (WBP),lexical-logical
http://purl.obolibrary.org/obo/XPO_0103022,http://purl.obolibrary.org/obo/HP_0012776,abnormal ciliary body morphology (XPO),Abnormal ciliary body morphology (HPO),lexical
http://purl.obolibrary.org/obo/HP_0012776,http://purl.obolibrary.org/obo/XPO_0103022,Abnormal ciliary body morphology (HPO),abnormal ciliary body morphology (XPO),lexical
http://purl.obolibrary.org/obo/MP_0014016,http://purl.obolibrary.org/obo/HP_0012518,abnormal circle of Willis morphology (MPO),Abnormal circle of Willis morphology (HPO),lexical-logical
http://purl.obolibrary.org/obo/HP_0012518,http://purl.obolibrary.org/obo/MP_0014016,Abnormal circle of Willis morphology (HPO),abnormal circle of Willis morphology (MPO),lexical-logical
http://purl.obolibrary.org/obo/HP_0410282,http://purl.obolibrary.org/obo/MP_0008804,Abnormal circulating amylase level (HPO),abnormal circulating amylase level (MPO),lexical
http://purl.obolibrary.org/obo/MP_0008804,http://purl.obolibrary.org/obo/HP_0410282,abnormal circulating amylase level (MPO),Abnormal circulating amylase level (HPO),lexical
http://purl.obolibrary.org/obo/HP_0030347,http://purl.obolibrary.org/obo/MP_0009819,Abnormal circulating androgen level (HPO),abnormal circulating androgen level (MPO),lexical-logical
http://purl.obolibrary.org/obo/MP_0009819,http://purl.obolibrary.org/obo/HP_0030347,abnormal circulating androgen level (MPO),Abnormal circulating androgen level (HPO),lexical-logical
http://purl.obolibrary.org/obo/HP_0003107,http://purl.obolibrary.org/obo/MP_0005278,Abnormal circulating cholesterol concentration (HPO),abnormal cholesterol homeostasis (MPO),lexical
http://purl.obolibrary.org/obo/MP_0005278,http://purl.obolibrary.org/obo/HP_0003107,abnormal cholesterol homeostasis (MPO),Abnormal circulating cholesterol concentration (HPO),lexical
http://purl.obolibrary.org/obo/HP_0012112,http://purl.obolibrary.org/obo/MP_0005345,Abnormal circulating corticosterone level (HPO),abnormal circulating corticosterone level (MPO),lexical
http://purl.obolibrary.org/obo/MP_0005345,http://purl.obolibrary.org/obo/HP_0012112,abnormal circulating corticosterone level (MPO),Abnormal circulating corticosterone level (HPO),lexical
http://purl.obolibrary.org/obo/HP_0012113,http://purl.obolibrary.org/obo/MP_0010063,Abnormal circulating creatine concentration (HPO),abnormal circulating creatine level (MPO),lexical
http://purl.obolibrary.org/obo/MP_0010063,http://purl.obolibrary.org/obo/HP_0012113,abnormal circulating creatine level (MPO),Abnormal circulating creatine concentration (HPO),lexical
